# num_dofs: 23
# playback_mesh_z_lift: -0.095569
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,-0.000038,-0.000112,0.776462,0.002389,0.002078,-0.740512,0.672035,0.058983,-0.020747,0.278296,-0.114614,-0.053209,-0.005704,-0.061109,0.024904,-0.345812,0.118760,0.055117,0.004751,0.003446,-0.000133,-0.027562,0.006020,0.020537,0.000679,-0.001458,0.022056,-0.004582,-0.023794,-0.000592
0.020000,-0.000001,-0.000004,0.776523,0.002497,0.002302,-0.740699,0.671828,0.059509,-0.020922,0.278911,-0.114474,-0.053006,-0.005603,-0.061635,0.024649,-0.345337,0.118159,0.054537,0.004712,0.003212,-0.001500,-0.028274,0.006687,0.020347,0.000624,0.000032,0.022027,-0.004999,-0.023180,-0.001373
0.040000,0.000052,0.000146,0.776612,0.002638,0.002658,-0.740953,0.671546,0.060271,-0.021230,0.279685,-0.114245,-0.052747,-0.005469,-0.062377,0.024207,-0.344674,0.117253,0.053697,0.004656,0.002937,-0.002729,-0.029283,0.007333,0.019462,0.000438,0.000832,0.021666,-0.005429,-0.022441,-0.001420
0.060000,0.000137,0.000380,0.776759,0.002858,0.003260,-0.741340,0.671116,0.061508,-0.021761,0.280778,-0.113843,-0.052379,-0.005265,-0.063549,0.023434,-0.343633,0.115740,0.052338,0.004568,0.002575,-0.003737,-0.030663,0.008003,0.017190,-0.000023,0.000281,0.020798,-0.005908,-0.021443,-0.000007
0.080000,0.000218,0.000603,0.776927,0.003065,0.003840,-0.741673,0.670743,0.062534,-0.022231,0.281671,-0.113102,-0.051874,-0.005068,-0.064549,0.022658,-0.342682,0.114093,0.050968,0.004497,0.002285,-0.003535,-0.032204,0.008861,0.016049,-0.000531,-0.001021,0.019632,-0.006374,-0.020944,0.000635
0.100000,0.000298,0.000821,0.777105,0.003265,0.004411,-0.741979,0.670401,0.063457,-0.022673,0.282464,-0.112195,-0.051302,-0.004875,-0.065468,0.021880,-0.341775,0.112391,0.049596,0.004434,0.002030,-0.002753,-0.033812,0.009842,0.015474,-0.001068,-0.002743,0.018288,-0.006787,-0.020694,0.000890
0.120000,0.000343,0.001036,0.777301,0.003455,0.004935,-0.742217,0.670133,0.064125,-0.023053,0.283050,-0.110884,-0.050529,-0.004744,-0.066217,0.021108,-0.341021,0.110625,0.048267,0.004347,0.002123,-0.001507,-0.035222,0.010932,0.016709,-0.000897,-0.004573,0.017009,-0.007147,-0.021888,-0.000502
0.140000,0.000379,0.001248,0.777498,0.003653,0.005435,-0.742427,0.669896,0.064752,-0.023394,0.283558,-0.109520,-0.049726,-0.004634,-0.066934,0.020379,-0.340342,0.108896,0.046981,0.004258,0.002325,-0.000100,-0.036458,0.012072,0.018149,-0.001180,-0.006422,0.015791,-0.007444,-0.023264,-0.001464
0.160000,0.000393,0.001456,0.777696,0.003859,0.005894,-0.742580,0.669720,0.065292,-0.023674,0.283906,-0.108042,-0.048862,-0.004564,-0.067580,0.019709,-0.339815,0.107222,0.045775,0.004161,0.002746,0.001665,-0.037488,0.013267,0.019999,-0.002358,-0.008245,0.014650,-0.007686,-0.025002,-0.001562
0.180000,0.000392,0.001655,0.777887,0.004085,0.006308,-0.742679,0.669606,0.065801,-0.023872,0.284097,-0.106538,-0.047982,-0.004520,-0.068193,0.019135,-0.339452,0.105652,0.044672,0.004069,0.003324,0.002893,-0.038424,0.014399,0.021872,-0.003938,-0.009771,0.013583,-0.007855,-0.026458,-0.002260
0.200000,0.000383,0.001851,0.778076,0.004323,0.006700,-0.742750,0.669521,0.066299,-0.024028,0.284208,-0.105028,-0.047097,-0.004488,-0.068792,0.018613,-0.339173,0.104138,0.043623,0.003979,0.003980,0.003855,-0.039318,0.015499,0.023756,-0.005721,-0.011154,0.012575,-0.007981,-0.027771,-0.003258
0.220000,0.000359,0.002027,0.778254,0.004584,0.007059,-0.742752,0.669514,0.066794,-0.024117,0.284116,-0.103532,-0.046220,-0.004483,-0.069348,0.018176,-0.339133,0.102716,0.042697,0.003910,0.004880,0.004237,-0.040075,0.016508,0.025467,-0.007072,-0.013388,0.011508,-0.008169,-0.028388,-0.003779
0.240000,0.000332,0.002195,0.778437,0.004850,0.007407,-0.742733,0.669529,0.067273,-0.024181,0.283968,-0.102020,-0.045336,-0.004484,-0.069858,0.017768,-0.339158,0.101274,0.041786,0.003842,0.005853,0.004738,-0.040678,0.017502,0.027137,-0.008483,-0.016189,0.010304,-0.008368,-0.028769,-0.003734
0.260000,0.000299,0.002347,0.778626,0.005122,0.007739,-0.742672,0.669592,0.067711,-0.024208,0.283711,-0.100460,-0.044428,-0.004499,-0.070273,0.017409,-0.339311,0.099783,0.040898,0.003782,0.006970,0.005454,-0.041047,0.018480,0.028728,-0.010007,-0.020103,0.008811,-0.008611,-0.028677,-0.002554
0.280000,0.000261,0.002480,0.778836,0.005400,0.008063,-0.742576,0.669691,0.068064,-0.024197,0.283361,-0.098759,-0.043447,-0.004530,-0.070571,0.017040,-0.339566,0.098151,0.039973,0.003774,0.008131,0.006614,-0.041063,0.019449,0.030419,-0.012060,-0.023628,0.006913,-0.008685,-0.028198,-0.002443
0.300000,0.000221,0.002604,0.779057,0.005679,0.008383,-0.742464,0.669810,0.068381,-0.024170,0.282964,-0.096998,-0.042433,-0.004567,-0.070814,0.016667,-0.339871,0.096460,0.039032,0.003793,0.009317,0.008042,-0.040765,0.020374,0.032163,-0.014384,-0.027032,0.004659,-0.008608,-0.027526,-0.002855
0.320000,0.000169,0.002690,0.779300,0.005981,0.008710,-0.742309,0.669975,0.068639,-0.024116,0.282429,-0.095102,-0.041349,-0.004641,-0.070949,0.016239,-0.340247,0.094609,0.038066,0.003929,0.010606,0.010111,-0.040152,0.021269,0.033941,-0.017343,-0.031689,0.002082,-0.008531,-0.026599,-0.002441
0.340000,0.000105,0.002772,0.779544,0.006290,0.009037,-0.742156,0.670137,0.068913,-0.024072,0.281896,-0.093237,-0.040272,-0.004737,-0.071094,0.015823,-0.340583,0.092787,0.037124,0.004055,0.011909,0.012449,-0.039436,0.022090,0.035658,-0.020879,-0.036518,-0.000612,-0.008342,-0.025793,-0.001865
0.360000,0.000018,0.002843,0.779785,0.006616,0.009364,-0.742007,0.670294,0.069207,-0.024049,0.281371,-0.091411,-0.039198,-0.004878,-0.071254,0.015428,-0.340838,0.091003,0.036224,0.004162,0.013233,0.015211,-0.038823,0.022863,0.037252,-0.025551,-0.041523,-0.003231,-0.008086,-0.025236,-0.000986
0.380000,-0.000078,0.002897,0.779971,0.006983,0.009580,-0.741858,0.670452,0.069488,-0.023843,0.280845,-0.089812,-0.038243,-0.005039,-0.071553,0.015320,-0.341231,0.089762,0.035625,0.004318,0.014646,0.018320,-0.038305,0.023603,0.038924,-0.030127,-0.046153,-0.005635,-0.007736,-0.024998,-0.001141
0.400000,-0.000177,0.002943,0.780128,0.007374,0.009739,-0.741708,0.670612,0.069764,-0.023536,0.280317,-0.088331,-0.037351,-0.005209,-0.071921,0.015366,-0.341694,0.088789,0.035175,0.004499,0.016101,0.021625,-0.037853,0.024302,0.040638,-0.034655,-0.050587,-0.007822,-0.007339,-0.024918,-0.001822
0.420000,-0.000305,0.002938,0.780189,0.007723,0.009656,-0.741555,0.670778,0.069717,-0.023003,0.279764,-0.087241,-0.036722,-0.005446,-0.072192,0.015795,-0.342200,0.088693,0.035283,0.004801,0.017540,0.024301,-0.037669,0.024919,0.042997,-0.037993,-0.056040,-0.009629,-0.007068,-0.025557,-0.002187
0.440000,-0.000449,0.002917,0.780229,0.008038,0.009533,-0.741401,0.670946,0.069580,-0.022491,0.279208,-0.086265,-0.036157,-0.005716,-0.072406,0.016231,-0.342697,0.088781,0.035547,0.004979,0.018936,0.027394,-0.037686,0.025592,0.045477,-0.041391,-0.060717,-0.011107,-0.006727,-0.025851,-0.002830
0.460000,-0.000627,0.002864,0.780228,0.008284,0.009329,-0.741246,0.671117,0.069259,-0.022027,0.278643,-0.085504,-0.035718,-0.006055,-0.072507,0.016675,-0.343174,0.089235,0.036123,0.004907,0.020246,0.031327,-0.037914,0.026375,0.048205,-0.044925,-0.063847,-0.012183,-0.006258,-0.025462,-0.004010
0.480000,-0.000846,0.002787,0.780195,0.008488,0.009069,-0.741072,0.671311,0.068900,-0.021628,0.278070,-0.085044,-0.035415,-0.006461,-0.072518,0.017120,-0.343703,0.089942,0.036919,0.004711,0.021521,0.035915,-0.038270,0.027205,0.050583,-0.048352,-0.066465,-0.012880,-0.005920,-0.024514,-0.005059
0.500000,-0.001086,0.002697,0.780144,0.008672,0.008780,-0.740888,0.671515,0.068522,-0.021257,0.277495,-0.084735,-0.035181,-0.006902,-0.072486,0.017569,-0.344255,0.090778,0.037828,0.004453,0.022774,0.040832,-0.038680,0.028058,0.052796,-0.051730,-0.068747,-0.013360,-0.005731,-0.023285,-0.006041
0.520000,-0.001386,0.002540,0.780057,0.008741,0.008400,-0.740640,0.671793,0.067913,-0.021018,0.276863,-0.084806,-0.035200,-0.007437,-0.071977,0.017925,-0.345002,0.091645,0.038940,0.004092,0.024197,0.044542,-0.039092,0.028835,0.054438,-0.052057,-0.070905,-0.013546,-0.005922,-0.021184,-0.007029
0.540000,-0.001705,0.002360,0.779978,0.008777,0.008025,-0.740339,0.672129,0.067272,-0.020858,0.276038,-0.084906,-0.035210,-0.008010,-0.071424,0.018223,-0.345919,0.092640,0.040191,0.003691,0.025720,0.048295,-0.039682,0.029636,0.055901,-0.053297,-0.073718,-0.013700,-0.006201,-0.018964,-0.007709
0.560000,-0.002060,0.002135,0.779911,0.008706,0.007666,-0.739949,0.672563,0.066487,-0.020918,0.274912,-0.085060,-0.035245,-0.008652,-0.070592,0.018303,-0.347073,0.093630,0.041579,0.003234,0.027529,0.051168,-0.041197,0.030345,0.056728,-0.054647,-0.078249,-0.014096,-0.006076,-0.016722,-0.007830
0.580000,-0.002464,0.001878,0.779854,0.008537,0.007273,-0.739541,0.673018,0.065409,-0.021115,0.273843,-0.085170,-0.035311,-0.009366,-0.069334,0.018193,-0.348177,0.094344,0.042914,0.002739,0.029354,0.052570,-0.042942,0.030898,0.057092,-0.054433,-0.082634,-0.014760,-0.005797,-0.014949,-0.009453
0.600000,-0.002890,0.001604,0.779802,0.008325,0.006868,-0.739115,0.673493,0.064223,-0.021386,0.272739,-0.085273,-0.035384,-0.010120,-0.067928,0.018000,-0.349319,0.095012,0.044273,0.002214,0.031203,0.053618,-0.044659,0.031383,0.057263,-0.054046,-0.087124,-0.015641,-0.005524,-0.013382,-0.011461
0.620000,-0.003384,0.001287,0.779743,0.008015,0.006452,-0.738738,0.673914,0.062751,-0.021882,0.271763,-0.085389,-0.035567,-0.010997,-0.066332,0.017593,-0.350356,0.095765,0.045755,0.001606,0.032691,0.054045,-0.046344,0.031746,0.056820,-0.053629,-0.090438,-0.016328,-0.005125,-0.012053,-0.014379
0.640000,-0.003898,0.000951,0.779679,0.007672,0.006024,-0.738389,0.674305,0.061145,-0.022439,0.270824,-0.085476,-0.035790,-0.011916,-0.064662,0.017125,-0.351319,0.096548,0.047277,0.000980,0.034058,0.054490,-0.047994,0.032076,0.056239,-0.053029,-0.093508,-0.016653,-0.004731,-0.010697,-0.016864
0.660000,-0.004453,0.000580,0.779609,0.007261,0.005576,-0.738094,0.674636,0.059267,-0.023120,0.269958,-0.085504,-0.036092,-0.012921,-0.062844,0.016530,-0.352136,0.097388,0.048879,0.000316,0.035186,0.054925,-0.049597,0.032381,0.055378,-0.052063,-0.096089,-0.016282,-0.004346,-0.009289,-0.018489
0.680000,-0.005057,0.000204,0.779516,0.006800,0.005110,-0.737799,0.674967,0.057289,-0.023926,0.269065,-0.085578,-0.036458,-0.013995,-0.060970,0.015829,-0.352959,0.098355,0.050572,-0.000486,0.036274,0.057349,-0.050832,0.032890,0.054990,-0.051352,-0.098324,-0.015417,-0.004041,-0.008365,-0.021720
0.700000,-0.005686,-0.000173,0.779412,0.006324,0.004626,-0.737503,0.675299,0.055264,-0.024768,0.268161,-0.085676,-0.036856,-0.015103,-0.059068,0.015102,-0.353784,0.099386,0.052313,-0.001358,0.037328,0.060807,-0.051705,0.033473,0.054863,-0.050790,-0.100338,-0.014215,-0.003827,-0.007671,-0.025754
0.720000,-0.006381,-0.000516,0.779246,0.005853,0.004069,-0.737177,0.675662,0.053350,-0.025625,0.267268,-0.086076,-0.037357,-0.016267,-0.057247,0.014418,-0.354631,0.100733,0.054194,-0.002454,0.038211,0.064155,-0.052137,0.034130,0.055292,-0.050878,-0.102969,-0.013496,-0.004141,-0.007859,-0.031133
0.740000,-0.007108,-0.000852,0.779055,0.005385,0.003499,-0.736811,0.676068,0.051541,-0.026528,0.266216,-0.086633,-0.037879,-0.017471,-0.055555,0.013754,-0.355665,0.102391,0.056268,-0.003605,0.039137,0.067793,-0.052670,0.034888,0.055839,-0.051950,-0.105708,-0.012554,-0.004529,-0.008139,-0.036027
0.760000,-0.007901,-0.001173,0.778813,0.004906,0.002895,-0.736395,0.676528,0.049838,-0.027521,0.265063,-0.087446,-0.038453,-0.018750,-0.053959,0.013076,-0.356874,0.104417,0.058582,-0.004846,0.040065,0.071447,-0.053331,0.035707,0.056584,-0.053925,-0.108530,-0.011403,-0.005000,-0.008614,-0.040123
0.780000,-0.008761,-0.001490,0.778533,0.004359,0.002311,-0.735928,0.677042,0.048262,-0.028779,0.263786,-0.088603,-0.039107,-0.020110,-0.052407,0.012219,-0.358186,0.106757,0.061112,-0.006134,0.041046,0.074862,-0.054093,0.036485,0.057669,-0.056202,-0.111276,-0.010080,-0.005475,-0.009403,-0.043754
0.800000,-0.009655,-0.001804,0.778234,0.003779,0.001735,-0.735434,0.677584,0.046774,-0.030176,0.262441,-0.089978,-0.039825,-0.021510,-0.050884,0.011277,-0.359554,0.109271,0.063759,-0.007444,0.042052,0.078075,-0.054935,0.037238,0.058925,-0.058490,-0.113966,-0.008614,-0.005966,-0.010350,-0.047151
0.820000,-0.010648,-0.002123,0.777936,0.003008,0.001190,-0.734910,0.678157,0.045113,-0.032061,0.261093,-0.091481,-0.040469,-0.023034,-0.049047,0.009872,-0.360982,0.111729,0.066470,-0.008794,0.043045,0.081053,-0.055710,0.037974,0.060907,-0.061302,-0.116004,-0.007043,-0.006343,-0.011277,-0.050149
0.840000,-0.011662,-0.002436,0.777645,0.002221,0.000655,-0.734396,0.678717,0.043487,-0.034038,0.259760,-0.093050,-0.041071,-0.024600,-0.047203,0.008392,-0.362399,0.114161,0.069178,-0.010161,0.043933,0.083882,-0.056391,0.038675,0.063064,-0.064286,-0.117700,-0.005432,-0.006640,-0.012095,-0.053538
0.860000,-0.012717,-0.002737,0.777366,0.001400,0.000142,-0.733907,0.679249,0.041880,-0.036188,0.258494,-0.094666,-0.041552,-0.026234,-0.045316,0.006747,-0.363757,0.116473,0.071821,-0.011553,0.044647,0.086273,-0.056915,0.039271,0.065457,-0.067329,-0.118762,-0.003887,-0.006783,-0.012752,-0.057622
0.880000,-0.013808,-0.003012,0.777104,0.000596,-0.000386,-0.733493,0.679697,0.040225,-0.038347,0.257494,-0.096153,-0.041683,-0.027894,-0.043320,0.005036,-0.364825,0.118352,0.074107,-0.012951,0.045090,0.087664,-0.057229,0.039654,0.067634,-0.070337,-0.119526,-0.002599,-0.006904,-0.013105,-0.060888
0.900000,-0.014916,-0.003273,0.776852,-0.000197,-0.000914,-0.733127,0.680092,0.038578,-0.040499,0.256695,-0.097603,-0.041665,-0.029533,-0.041337,0.003310,-0.365676,0.120081,0.076230,-0.014337,0.045367,0.088642,-0.057341,0.039913,0.069718,-0.073460,-0.120167,-0.001698,-0.007024,-0.013295,-0.063687
0.920000,-0.016116,-0.003467,0.776641,-0.000963,-0.001318,-0.732844,0.680395,0.037199,-0.042958,0.256112,-0.099004,-0.041418,-0.031312,-0.039644,0.001265,-0.366272,0.121636,0.078224,-0.015886,0.045410,0.089116,-0.057302,0.040022,0.071511,-0.076727,-0.120811,-0.001118,-0.007149,-0.013863,-0.065803
0.940000,-0.017343,-0.003635,0.776450,-0.001706,-0.001661,-0.732612,0.680642,0.035945,-0.045481,0.255789,-0.100315,-0.041102,-0.033141,-0.038066,-0.000874,-0.366605,0.123039,0.080111,-0.017494,0.045407,0.089428,-0.057257,0.040068,0.073009,-0.079711,-0.121368,-0.000988,-0.007225,-0.014593,-0.067408
