# num_dofs: 23
# playback_mesh_z_lift: -0.208380
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,-0.000012,0.000491,0.798247,0.000473,0.000631,-0.729317,0.684176,0.051908,-0.020170,0.273171,-0.113824,-0.054167,-0.005700,-0.054131,0.024855,-0.382857,0.121709,0.061953,0.003599,-0.006012,0.001522,-0.014700,0.000035,0.004671,0.000070,-0.001180,0.013623,-0.000339,-0.000008,0.000002
0.020000,-0.000020,0.000487,0.798244,0.000474,0.000629,-0.729316,0.684176,0.051908,-0.020169,0.273170,-0.113825,-0.054167,-0.005700,-0.054130,0.024856,-0.382857,0.121709,0.061953,0.003598,-0.006011,0.001522,-0.014703,0.000035,0.004670,0.000070,-0.001181,0.013624,-0.000340,-0.000007,0.000002
0.040000,-0.000046,0.000478,0.798234,0.000468,0.000602,-0.729310,0.684183,0.051893,-0.020161,0.273166,-0.113834,-0.054165,-0.005706,-0.054114,0.024863,-0.382857,0.121716,0.061954,0.003595,-0.006000,0.001523,-0.014702,0.000036,0.004658,0.000075,-0.001193,0.013606,-0.000351,0.000000,-0.000006
0.060000,-0.000096,0.000434,0.798221,0.000326,0.000350,-0.729239,0.684259,0.051107,-0.020025,0.272901,-0.113681,-0.054219,-0.005897,-0.053354,0.025023,-0.383045,0.121762,0.062210,0.003675,-0.005474,0.000785,-0.014331,-0.000067,0.003890,0.001146,-0.001030,0.012764,-0.000347,0.000000,-0.000105
0.080000,-0.000153,0.000407,0.798211,0.000232,0.000184,-0.729182,0.684320,0.050629,-0.019972,0.272720,-0.113572,-0.054215,-0.006023,-0.052901,0.025089,-0.383145,0.121820,0.062375,0.003729,-0.005162,0.000554,-0.013800,-0.000113,0.003427,0.002020,-0.001076,0.011667,-0.000343,0.000000,0.000471
0.100000,-0.000211,0.000384,0.798202,0.000136,0.000017,-0.729120,0.684386,0.050152,-0.019923,0.272533,-0.113455,-0.054195,-0.006152,-0.052455,0.025146,-0.383232,0.121888,0.062546,0.003782,-0.004859,0.000422,-0.013181,-0.000152,0.002960,0.002955,-0.001198,0.010421,-0.000328,0.000000,0.001313
0.120000,-0.000275,0.000373,0.798198,0.000045,-0.000155,-0.729044,0.684466,0.049711,-0.019867,0.272345,-0.113344,-0.054146,-0.006280,-0.052042,0.025218,-0.383376,0.121998,0.062702,0.003791,-0.004600,0.000808,-0.012542,-0.000140,0.002750,0.003102,-0.001404,0.009031,-0.000315,0.000000,0.001288
0.140000,-0.000343,0.000367,0.798194,-0.000053,-0.000322,-0.728963,0.684553,0.049282,-0.019835,0.272148,-0.113241,-0.054089,-0.006412,-0.051637,0.025254,-0.383539,0.122124,0.062851,0.003778,-0.004327,0.001277,-0.011945,-0.000126,0.002642,0.002813,-0.001604,0.007662,-0.000292,0.000000,0.001329
0.160000,-0.000416,0.000372,0.798190,-0.000159,-0.000484,-0.728868,0.684654,0.048880,-0.019835,0.271933,-0.113153,-0.054017,-0.006549,-0.051250,0.025234,-0.383736,0.122280,0.062984,0.003721,-0.004028,0.001900,-0.011472,-0.000101,0.002738,0.001653,-0.001781,0.006521,-0.000258,0.000000,0.001499
0.180000,-0.000495,0.000389,0.798185,-0.000260,-0.000646,-0.728766,0.684763,0.048512,-0.019837,0.271689,-0.113072,-0.053929,-0.006683,-0.050888,0.025235,-0.383995,0.122450,0.063118,0.003600,-0.003743,0.002464,-0.011233,-0.000079,0.002967,0.000029,-0.001806,0.005705,-0.000201,0.000000,0.001512
0.200000,-0.000577,0.000411,0.798178,-0.000355,-0.000813,-0.728659,0.684876,0.048162,-0.019831,0.271431,-0.112997,-0.053835,-0.006816,-0.050538,0.025255,-0.384283,0.122626,0.063253,0.003448,-0.003464,0.002990,-0.011209,-0.000051,0.003262,-0.001826,-0.001746,0.005228,-0.000142,0.000000,0.001445
0.220000,-0.000665,0.000452,0.798172,-0.000425,-0.000979,-0.728552,0.684990,0.047882,-0.019804,0.271124,-0.112921,-0.053719,-0.006948,-0.050270,0.025302,-0.384580,0.122829,0.063382,0.003243,-0.003217,0.003250,-0.011584,-0.000038,0.003697,-0.001767,-0.001319,0.004900,-0.000040,0.000000,0.000996
0.240000,-0.000757,0.000500,0.798165,-0.000494,-0.001134,-0.728448,0.685100,0.047627,-0.019800,0.270812,-0.112849,-0.053601,-0.007080,-0.050036,0.025330,-0.384868,0.123042,0.063511,0.003020,-0.002978,0.003363,-0.012219,-0.000027,0.004056,-0.001666,-0.000839,0.004714,0.000056,0.000000,0.000724
0.260000,-0.000855,0.000562,0.798158,-0.000559,-0.001275,-0.728352,0.685202,0.047424,-0.019825,0.270490,-0.112786,-0.053477,-0.007213,-0.049867,0.025334,-0.385138,0.123269,0.063639,0.002764,-0.002751,0.003197,-0.013049,-0.000035,0.004262,-0.001480,-0.000263,0.004632,0.000148,0.000000,0.000807
0.280000,-0.000959,0.000635,0.798151,-0.000614,-0.001401,-0.728266,0.685293,0.047275,-0.019874,0.270172,-0.112734,-0.053351,-0.007347,-0.049761,0.025316,-0.385388,0.123504,0.063773,0.002484,-0.002581,0.003096,-0.014000,-0.000026,0.004471,-0.000963,0.000053,0.004627,0.000190,0.000000,0.000886
0.300000,-0.001066,0.000715,0.798142,-0.000669,-0.001518,-0.728183,0.685380,0.047154,-0.019943,0.269854,-0.112688,-0.053226,-0.007483,-0.049687,0.025278,-0.385629,0.123744,0.063911,0.002191,-0.002439,0.003025,-0.015107,-0.000007,0.004681,-0.000278,0.000248,0.004674,0.000199,0.000000,0.000963
0.320000,-0.001184,0.000817,0.798132,-0.000711,-0.001612,-0.728122,0.685445,0.047120,-0.020048,0.269580,-0.112635,-0.053112,-0.007627,-0.049715,0.025205,-0.385809,0.123991,0.064073,0.001859,-0.002410,0.003382,-0.016151,0.000052,0.004917,0.000230,0.000072,0.004707,0.000153,0.000000,0.000847
0.340000,-0.001306,0.000923,0.798122,-0.000752,-0.001696,-0.728069,0.685502,0.047103,-0.020169,0.269331,-0.112582,-0.052990,-0.007774,-0.049770,0.025116,-0.385967,0.124233,0.064243,0.001516,-0.002378,0.003552,-0.017158,0.000081,0.005159,0.000950,-0.000143,0.004705,0.000098,0.000000,0.000641
0.360000,-0.001438,0.001039,0.798111,-0.000788,-0.001762,-0.728029,0.685544,0.047123,-0.020311,0.269133,-0.112531,-0.052854,-0.007924,-0.049878,0.025003,-0.386081,0.124466,0.064429,0.001153,-0.002340,0.003340,-0.018004,0.000058,0.005416,0.002091,-0.000442,0.004633,0.000032,0.000000,0.000252
0.380000,-0.001577,0.001166,0.798099,-0.000819,-0.001811,-0.727980,0.685596,0.047170,-0.020491,0.268914,-0.112490,-0.052736,-0.008065,-0.050016,0.024858,-0.386189,0.124657,0.064616,0.000757,-0.002285,0.003007,-0.018795,0.000028,0.005771,0.003216,-0.000618,0.004425,-0.000012,0.000000,-0.000045
0.400000,-0.001721,0.001299,0.798086,-0.000851,-0.001846,-0.727926,0.685653,0.047231,-0.020704,0.268684,-0.112453,-0.052626,-0.008203,-0.050170,0.024684,-0.386296,0.124827,0.064803,0.000345,-0.002222,0.002602,-0.019588,0.000006,0.006175,0.004332,-0.000732,0.004045,-0.000044,0.000000,-0.000296
0.420000,-0.001873,0.001450,0.798068,-0.000860,-0.001882,-0.727847,0.685736,0.047417,-0.020919,0.268409,-0.112433,-0.052605,-0.008319,-0.050394,0.024484,-0.386467,0.125034,0.064993,-0.000048,-0.002160,0.002618,-0.020144,0.000043,0.006823,0.004054,0.000053,0.003651,0.000070,0.000000,-0.000876
0.440000,-0.002025,0.001598,0.798049,-0.000886,-0.001908,-0.727764,0.685824,0.047591,-0.021156,0.268112,-0.112409,-0.052570,-0.008441,-0.050605,0.024260,-0.386667,0.125245,0.065184,-0.000422,-0.002118,0.002570,-0.020786,0.000093,0.007595,0.003534,0.000851,0.003074,0.000163,0.000000,-0.001442
0.460000,-0.002175,0.001739,0.798030,-0.000928,-0.001926,-0.727675,0.685918,0.047743,-0.021393,0.267794,-0.112381,-0.052505,-0.008570,-0.050789,0.024030,-0.386903,0.125460,0.065373,-0.000754,-0.002128,0.002412,-0.021427,0.000148,0.008614,0.002531,0.001633,0.002369,0.000240,0.000000,-0.001969
0.480000,-0.002328,0.001868,0.798016,-0.000973,-0.001931,-0.727588,0.686011,0.047893,-0.021654,0.267482,-0.112337,-0.052353,-0.008715,-0.050954,0.023781,-0.387165,0.125636,0.065531,-0.001052,-0.002156,0.001875,-0.022050,0.000191,0.009672,0.001238,0.002257,0.001446,0.000272,0.000000,-0.002132
0.500000,-0.002483,0.001991,0.798005,-0.001012,-0.001935,-0.727502,0.686103,0.048043,-0.021906,0.267176,-0.112286,-0.052156,-0.008868,-0.051109,0.023543,-0.387438,0.125793,0.065671,-0.001332,-0.002194,0.001148,-0.022533,0.000230,0.010749,-0.000201,0.002793,0.000471,0.000293,0.000000,-0.002112
0.520000,-0.002646,0.002095,0.798000,-0.001031,-0.001928,-0.727428,0.686181,0.048195,-0.022210,0.266918,-0.112218,-0.051910,-0.009032,-0.051260,0.023262,-0.387679,0.125896,0.065758,-0.001565,-0.002240,0.000189,-0.022935,0.000261,0.011421,-0.000510,0.003546,-0.000550,0.000339,0.000000,-0.001955
0.540000,-0.002810,0.002193,0.797996,-0.001048,-0.001918,-0.727359,0.686254,0.048333,-0.022521,0.266683,-0.112148,-0.051661,-0.009200,-0.051399,0.022969,-0.387913,0.125990,0.065843,-0.001779,-0.002308,-0.000699,-0.023284,0.000319,0.012057,-0.000458,0.004354,-0.001576,0.000390,0.000000,-0.001890
0.560000,-0.002976,0.002279,0.797995,-0.001062,-0.001902,-0.727299,0.686318,0.048443,-0.022847,0.266495,-0.112073,-0.051406,-0.009379,-0.051515,0.022650,-0.388135,0.126066,0.065923,-0.001954,-0.002419,-0.001431,-0.023589,0.000410,0.012623,0.000320,0.005272,-0.002557,0.000452,0.000000,-0.002010
0.580000,-0.003142,0.002354,0.797996,-0.001076,-0.001884,-0.727233,0.686387,0.048554,-0.023171,0.266304,-0.112007,-0.051143,-0.009567,-0.051612,0.022340,-0.388364,0.126139,0.066032,-0.002041,-0.002574,-0.001908,-0.023887,0.000545,0.013142,0.000977,0.005884,-0.003498,0.000472,0.000000,-0.002556
0.600000,-0.003307,0.002424,0.797999,-0.001088,-0.001866,-0.727165,0.686460,0.048667,-0.023493,0.266111,-0.111946,-0.050878,-0.009758,-0.051701,0.022035,-0.388597,0.126210,0.066157,-0.002083,-0.002752,-0.002259,-0.024190,0.000705,0.013636,0.001574,0.006344,-0.004407,0.000472,0.000000,-0.003316
