# num_dofs: 23
# playback_mesh_z_lift: -0.001264
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,-0.000317,-0.000006,0.751440,0.026373,-0.005042,-0.998862,0.039422,-0.023095,0.038030,0.285261,-0.191042,-0.327871,-0.009600,-0.409514,0.087132,-0.349398,0.397986,0.019683,0.029788,0.087726,0.096530,1.170748,-0.433352,0.422075,0.036302,-0.173855,-1.291558,0.296897,-0.347477,-0.068010
0.020000,-0.000222,-0.000342,0.751505,0.025617,-0.005299,-0.998886,0.039282,-0.024670,0.038894,0.285349,-0.191118,-0.327713,-0.009645,-0.407983,0.087959,-0.349004,0.397910,0.019380,0.029911,0.086925,0.125537,1.194615,-0.441740,0.384178,0.027698,-0.181266,-1.297692,0.299273,-0.337540,-0.067272
0.040000,-0.000230,-0.000671,0.751559,0.025027,-0.005442,-0.998899,0.039305,-0.026189,0.039601,0.285472,-0.190648,-0.327434,-0.009911,-0.406569,0.088640,-0.348880,0.397786,0.019289,0.030101,0.085314,0.149003,1.212662,-0.451850,0.353858,0.023002,-0.184550,-1.300643,0.299911,-0.332666,-0.067554
0.060000,-0.000262,-0.000984,0.751619,0.024574,-0.005513,-0.998905,0.039428,-0.027457,0.040125,0.285450,-0.190146,-0.326979,-0.010350,-0.405276,0.089213,-0.348989,0.397485,0.019137,0.030285,0.083355,0.168078,1.226094,-0.462212,0.329949,0.020792,-0.185792,-1.301964,0.299138,-0.330408,-0.068085
0.080000,-0.000320,-0.001280,0.751684,0.024217,-0.005510,-0.998903,0.039696,-0.028552,0.040452,0.285149,-0.189610,-0.326350,-0.010862,-0.404025,0.089692,-0.349350,0.397054,0.018970,0.030400,0.081725,0.183298,1.235943,-0.472029,0.311287,0.020162,-0.186117,-1.302469,0.297770,-0.329693,-0.068534
0.100000,-0.000403,-0.001555,0.751751,0.023915,-0.005440,-0.998895,0.040100,-0.029522,0.040589,0.284567,-0.189104,-0.325609,-0.011381,-0.402772,0.090085,-0.349952,0.396572,0.018842,0.030427,0.080752,0.195199,1.243069,-0.480928,0.296942,0.020580,-0.186066,-1.302592,0.296397,-0.329890,-0.068966
0.120000,-0.000505,-0.001809,0.751821,0.023673,-0.005310,-0.998880,0.040624,-0.030353,0.040569,0.283794,-0.188582,-0.324780,-0.011929,-0.401539,0.090387,-0.350812,0.396023,0.018737,0.030332,0.080564,0.204282,1.248176,-0.488941,0.286196,0.021445,-0.185983,-1.302545,0.295294,-0.330405,-0.069470
0.140000,-0.000607,-0.002043,0.751898,0.023462,-0.005158,-0.998865,0.041141,-0.031120,0.040489,0.283073,-0.188037,-0.323926,-0.012532,-0.400363,0.090601,-0.351666,0.395429,0.018605,0.030176,0.080836,0.211275,1.251819,-0.496113,0.278228,0.022254,-0.186085,-1.302424,0.294528,-0.330728,-0.070030
0.160000,-0.000709,-0.002267,0.751977,0.023254,-0.005001,-0.998851,0.041596,-0.031896,0.040395,0.282539,-0.187497,-0.323110,-0.013172,-0.399194,0.090733,-0.352390,0.394787,0.018509,0.030018,0.081310,0.216906,1.254416,-0.502393,0.272283,0.022945,-0.186413,-1.302264,0.294196,-0.330849,-0.070507
0.180000,-0.000822,-0.002486,0.752051,0.023060,-0.004842,-0.998840,0.041982,-0.032658,0.040304,0.282161,-0.187013,-0.322387,-0.013758,-0.398073,0.090818,-0.353039,0.394193,0.018489,0.029929,0.081911,0.221518,1.256275,-0.507836,0.267895,0.023795,-0.186920,-1.302082,0.294391,-0.330910,-0.070984
