# num_dofs: 23
# playback_mesh_z_lift: -0.009234
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,0.000811,-0.000109,0.747197,0.024962,-0.030444,-0.692746,-0.720106,0.001912,-0.033981,0.536132,-0.089822,-0.117942,-0.072154,-0.068647,0.044089,-0.433472,0.093608,0.084523,0.122604,0.034138,0.022918,1.174373,-0.624370,0.587223,-0.150780,-0.032470,-1.292176,0.489389,-0.528038,-0.016581
0.020000,0.001886,0.000546,0.746115,0.031000,-0.036226,-0.694004,-0.718391,0.019980,-0.038092,0.541231,-0.093431,-0.106289,-0.077174,-0.085171,0.041776,-0.436107,0.093107,0.089708,0.121456,0.038038,0.066050,1.212229,-0.630746,0.532188,-0.172571,-0.055030,-1.310756,0.484828,-0.512894,-0.002191
0.040000,0.001148,0.000965,0.745964,0.029069,-0.035300,-0.697621,-0.715006,0.017636,-0.034139,0.539975,-0.095335,-0.103107,-0.080356,-0.078760,0.042983,-0.454534,0.093569,0.090780,0.126348,0.046837,0.089701,1.243137,-0.639293,0.494692,-0.179502,-0.062950,-1.319612,0.484406,-0.496746,0.006401
0.060000,0.000864,0.001469,0.745891,0.027897,-0.034658,-0.696271,-0.716399,0.012538,-0.032059,0.543530,-0.093935,-0.099016,-0.083922,-0.075678,0.042670,-0.455905,0.092172,0.088655,0.128541,0.040851,0.110477,1.265908,-0.638445,0.477827,-0.143259,-0.064982,-1.323205,0.485736,-0.491038,-0.000394
0.080000,0.000763,0.001723,0.745829,0.027476,-0.034671,-0.696498,-0.716194,0.011806,-0.031087,0.542597,-0.093878,-0.097694,-0.084956,-0.074221,0.043118,-0.456765,0.091305,0.088566,0.129547,0.040334,0.123929,1.281887,-0.645853,0.455661,-0.148770,-0.067889,-1.324404,0.490769,-0.485323,0.007267
0.100000,0.000700,0.001072,0.745973,0.028341,-0.035337,-0.695416,-0.717178,0.014637,-0.031501,0.544443,-0.094317,-0.098382,-0.084066,-0.079280,0.043228,-0.454166,0.093595,0.088136,0.128354,0.035889,0.135430,1.292351,-0.648775,0.442467,-0.150847,-0.069279,-1.325094,0.488446,-0.485613,0.005360
0.120000,0.000797,0.001518,0.745931,0.027397,-0.034968,-0.695787,-0.716873,0.012238,-0.030176,0.541083,-0.093207,-0.098695,-0.084488,-0.075423,0.043538,-0.455902,0.092120,0.088406,0.129217,0.036555,0.140667,1.298844,-0.652751,0.431328,-0.149741,-0.067631,-1.325413,0.487157,-0.484776,0.003071
0.140000,0.000901,0.001797,0.746016,0.027300,-0.034602,-0.695825,-0.716858,0.010715,-0.030657,0.543417,-0.093086,-0.099068,-0.084702,-0.074730,0.043480,-0.455102,0.092844,0.088527,0.129646,0.035714,0.143321,1.302663,-0.654282,0.426328,-0.151940,-0.066764,-1.325532,0.485109,-0.484608,0.006521
0.160000,0.000834,0.001182,0.745979,0.027758,-0.034801,-0.694556,-0.718060,0.012287,-0.030766,0.542827,-0.092608,-0.099837,-0.084219,-0.077685,0.043157,-0.452534,0.093690,0.089032,0.128560,0.031562,0.146749,1.303716,-0.652593,0.423878,-0.150737,-0.067533,-1.325603,0.483295,-0.484916,0.002947
0.180000,0.000761,0.001701,0.745890,0.027332,-0.034800,-0.695692,-0.716976,0.011542,-0.030003,0.541597,-0.092741,-0.098812,-0.084950,-0.075390,0.043943,-0.453197,0.092754,0.088409,0.129428,0.035665,0.145134,1.304251,-0.653562,0.423889,-0.153558,-0.067185,-1.325551,0.483692,-0.484415,0.005292
0.200000,0.000959,0.001844,0.745914,0.027297,-0.035021,-0.695915,-0.716750,0.011887,-0.029854,0.540764,-0.092397,-0.099713,-0.085528,-0.074948,0.044086,-0.453478,0.091989,0.089540,0.129614,0.036200,0.144707,1.304488,-0.653945,0.423463,-0.153250,-0.066918,-1.325534,0.483922,-0.484441,0.005784
0.220000,0.000923,0.001851,0.746049,0.026543,-0.035248,-0.695619,-0.717055,0.013607,-0.025692,0.541389,-0.089023,-0.143629,-0.075359,-0.074416,0.045413,-0.454331,0.092533,0.088807,0.133173,0.035630,0.146488,1.305953,-0.658353,0.420063,-0.149797,-0.067790,-1.325379,0.486116,-0.482777,0.002385
0.240000,0.000773,0.001731,0.746288,0.026096,-0.035920,-0.695398,-0.717252,0.018309,-0.019599,0.542100,-0.083113,-0.207967,-0.058084,-0.075720,0.047593,-0.453506,0.093960,0.088090,0.138048,0.035679,0.146249,1.306292,-0.659257,0.420102,-0.149869,-0.068866,-1.325241,0.486554,-0.482414,0.000309
0.260000,0.000738,0.001936,0.746406,0.025604,-0.036630,-0.695973,-0.716676,0.015841,-0.020135,0.540527,-0.085415,-0.214871,-0.049594,-0.075050,0.049047,-0.454285,0.092934,0.088284,0.138757,0.036707,0.146044,1.306345,-0.659309,0.420904,-0.149398,-0.069350,-1.325214,0.486539,-0.481628,0.000850
0.280000,0.000889,0.001805,0.746515,0.025193,-0.036653,-0.695652,-0.717001,0.016014,-0.019678,0.539874,-0.086863,-0.218059,-0.045723,-0.074642,0.049512,-0.454905,0.092809,0.088734,0.138383,0.036638,0.145959,1.306401,-0.659361,0.421394,-0.149476,-0.070082,-1.325192,0.486414,-0.480692,-0.001224
0.300000,0.000995,0.001834,0.746562,0.025696,-0.036630,-0.695812,-0.716829,0.017146,-0.020069,0.539666,-0.087960,-0.216708,-0.049016,-0.075310,0.048860,-0.454771,0.092636,0.088567,0.137892,0.036558,0.146508,1.306434,-0.659480,0.420130,-0.150216,-0.070334,-1.325179,0.486478,-0.481038,-0.000793
0.320000,0.000979,0.002098,0.746495,0.024936,-0.036460,-0.696066,-0.716618,0.016029,-0.019775,0.539219,-0.088585,-0.219152,-0.044922,-0.073415,0.049875,-0.454952,0.092956,0.088426,0.138085,0.037139,0.145763,1.306785,-0.660928,0.421147,-0.151681,-0.069742,-1.325142,0.487233,-0.480418,0.001087
0.340000,0.000881,0.002107,0.746468,0.025072,-0.036540,-0.696328,-0.716354,0.016620,-0.019783,0.538942,-0.088737,-0.219891,-0.044088,-0.073440,0.050030,-0.455243,0.092717,0.089023,0.138359,0.037351,0.146712,1.306816,-0.660713,0.421527,-0.148590,-0.070676,-1.325122,0.486903,-0.480463,-0.001161
0.360000,0.000879,0.002098,0.746458,0.025123,-0.036673,-0.696512,-0.716167,0.017043,-0.019645,0.538579,-0.088836,-0.220453,-0.044251,-0.073593,0.050007,-0.455522,0.092397,0.089502,0.138295,0.037031,0.147353,1.306846,-0.660376,0.422108,-0.147158,-0.071424,-1.325098,0.486498,-0.480104,-0.002361
0.380000,0.000992,0.002259,0.746433,0.024875,-0.036630,-0.696337,-0.716348,0.016252,-0.019653,0.538312,-0.089021,-0.220804,-0.044809,-0.072845,0.049889,-0.455828,0.092206,0.089534,0.138552,0.037723,0.147407,1.306872,-0.660320,0.421221,-0.147002,-0.072071,-1.325084,0.486209,-0.478991,-0.003891
0.400000,0.001111,0.002387,0.746423,0.025005,-0.036855,-0.696459,-0.716213,0.016885,-0.019574,0.538233,-0.089277,-0.220827,-0.044935,-0.072797,0.049882,-0.455069,0.091641,0.088823,0.138335,0.036886,0.147076,1.307344,-0.658522,0.423186,-0.147464,-0.071720,-1.325035,0.484621,-0.479385,-0.001809
0.420000,0.000972,0.002277,0.746382,0.025366,-0.037040,-0.696584,-0.716069,0.017931,-0.019807,0.537799,-0.089299,-0.220508,-0.044986,-0.073791,0.049547,-0.456406,0.091647,0.088835,0.139179,0.037008,0.149591,1.307645,-0.658881,0.420434,-0.147420,-0.072240,-1.324929,0.483753,-0.479775,-0.002574
0.440000,0.000956,0.002367,0.746417,0.024819,-0.036777,-0.696736,-0.715954,0.016586,-0.019305,0.537236,-0.089210,-0.220452,-0.043892,-0.072227,0.050071,-0.457475,0.091474,0.088121,0.139437,0.037366,0.149300,1.307938,-0.659484,0.420617,-0.145226,-0.072054,-1.324949,0.483194,-0.479146,-0.003117
0.460000,0.001020,0.002418,0.746500,0.025007,-0.037185,-0.696850,-0.715816,0.017450,-0.018909,0.537145,-0.089124,-0.221699,-0.044004,-0.072875,0.050474,-0.456898,0.091141,0.089210,0.138661,0.035690,0.149001,1.308072,-0.652720,0.423586,-0.145739,-0.071350,-1.324979,0.479859,-0.479821,-0.001218
0.480000,0.001071,0.002602,0.746453,0.024761,-0.036952,-0.696496,-0.716181,0.016091,-0.018818,0.537761,-0.088722,-0.221089,-0.044196,-0.072780,0.050838,-0.456445,0.093008,0.089983,0.139097,0.035831,0.148572,1.308171,-0.654442,0.422257,-0.146877,-0.070338,-1.325241,0.481726,-0.479441,0.001351
