# num_dofs: 23
# playback_mesh_z_lift: 0.012750
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,0.000122,0.000097,0.766839,0.049545,-0.009394,-0.998671,0.010616,0.064099,-0.040789,0.392434,-0.171395,-0.219223,-0.065268,-0.138778,0.093785,-0.411462,0.337441,0.290516,-0.029563,0.031199,0.081082,1.235528,-0.391030,0.554846,-0.111259,-0.131081,-1.297719,0.329109,-0.506282,0.058585
0.020000,0.000049,-0.000022,0.766884,0.048922,-0.009519,-0.998704,0.010267,0.062285,-0.040307,0.393127,-0.171066,-0.219494,-0.065352,-0.137221,0.094076,-0.411005,0.336946,0.290451,-0.029210,0.029315,0.103164,1.258134,-0.393962,0.523458,-0.122301,-0.140023,-1.306214,0.330359,-0.493117,0.061264
0.040000,0.000039,-0.000120,0.766904,0.048508,-0.009550,-0.998727,0.010036,0.061263,-0.040074,0.394017,-0.171017,-0.219635,-0.065617,-0.136355,0.094249,-0.410673,0.336882,0.290467,-0.029206,0.027604,0.118929,1.273155,-0.396672,0.501094,-0.128588,-0.145555,-1.309960,0.330177,-0.489591,0.063964
0.060000,0.000014,-0.000192,0.766924,0.048114,-0.009530,-0.998747,0.009901,0.060312,-0.040001,0.394668,-0.171012,-0.219656,-0.065997,-0.135459,0.094272,-0.410443,0.336764,0.290476,-0.029107,0.026113,0.129424,1.282521,-0.398842,0.485462,-0.131329,-0.148285,-1.311460,0.328933,-0.487923,0.065115
0.080000,0.000034,-0.000237,0.766945,0.047801,-0.009469,-0.998763,0.009931,0.059723,-0.040068,0.394878,-0.171084,-0.219566,-0.066231,-0.134756,0.094195,-0.410468,0.336644,0.290480,-0.029055,0.025137,0.136219,1.288084,-0.400310,0.475054,-0.132108,-0.149599,-1.311992,0.327376,-0.486899,0.065349
0.100000,0.000059,-0.000240,0.766974,0.047492,-0.009353,-0.998777,0.010098,0.059184,-0.040348,0.394897,-0.171204,-0.219240,-0.066632,-0.133871,0.093898,-0.410776,0.336342,0.290437,-0.029033,0.025233,0.141123,1.291191,-0.400448,0.465787,-0.131102,-0.150754,-1.312140,0.325246,-0.485866,0.064450
0.120000,0.000135,-0.000200,0.767005,0.047354,-0.009237,-0.998781,0.010399,0.059079,-0.040655,0.394762,-0.171119,-0.218589,-0.067189,-0.133275,0.093518,-0.411291,0.335825,0.290268,-0.029045,0.026312,0.144894,1.292806,-0.399384,0.457434,-0.129500,-0.152157,-1.312166,0.322349,-0.484106,0.062779
0.140000,0.000215,-0.000143,0.767039,0.047332,-0.009125,-0.998782,0.010575,0.059071,-0.040913,0.394759,-0.170784,-0.217944,-0.067678,-0.132944,0.093096,-0.411547,0.335168,0.290016,-0.029023,0.027472,0.147428,1.293587,-0.397965,0.451035,-0.128225,-0.153350,-1.312154,0.319496,-0.482260,0.061460
0.160000,0.000275,-0.000046,0.767085,0.047409,-0.008972,-0.998779,0.010608,0.059086,-0.041277,0.394945,-0.170233,-0.217260,-0.068096,-0.132791,0.092471,-0.411519,0.334335,0.289640,-0.028944,0.028864,0.149596,1.293866,-0.396221,0.444858,-0.126846,-0.154521,-1.312148,0.316669,-0.480537,0.060144
0.180000,0.000334,0.000095,0.767137,0.047537,-0.008752,-0.998775,0.010553,0.059141,-0.041842,0.395187,-0.169620,-0.216601,-0.068406,-0.132731,0.091592,-0.411324,0.333348,0.289149,-0.028851,0.030562,0.151740,1.293813,-0.394741,0.438955,-0.125684,-0.155562,-1.312147,0.314415,-0.479430,0.059164
0.200000,0.000400,0.000264,0.767183,0.047678,-0.008492,-0.998772,0.010465,0.059298,-0.042555,0.395389,-0.169172,-0.216095,-0.068607,-0.132843,0.090634,-0.411089,0.332591,0.288764,-0.028799,0.032622,0.153832,1.293715,-0.394293,0.433823,-0.124869,-0.156724,-1.312132,0.313784,-0.478569,0.058067
0.220000,0.000428,0.000445,0.767214,0.047780,-0.008236,-0.998772,0.010232,0.059357,-0.043292,0.395640,-0.168960,-0.215962,-0.068634,-0.133040,0.089739,-0.410773,0.332170,0.288573,-0.028771,0.034470,0.154675,1.293647,-0.394175,0.431045,-0.125132,-0.157224,-1.312125,0.313519,-0.478218,0.057399
0.240000,0.000478,0.000629,0.767230,0.047864,-0.008006,-0.998772,0.010021,0.059463,-0.043973,0.395820,-0.168886,-0.215970,-0.068503,-0.133291,0.088978,-0.410538,0.331931,0.288496,-0.028735,0.036319,0.155185,1.293598,-0.394167,0.429606,-0.125723,-0.157500,-1.312123,0.313385,-0.478029,0.056859
0.260000,0.000618,0.000818,0.767229,0.047917,-0.007727,-0.998772,0.009966,0.059788,-0.044821,0.395957,-0.168975,-0.215874,-0.068347,-0.133568,0.088066,-0.410349,0.331722,0.288407,-0.028846,0.038743,0.156126,1.293534,-0.394204,0.428375,-0.126388,-0.157742,-1.312123,0.313270,-0.478012,0.056214
0.280000,0.000782,0.001009,0.767226,0.047883,-0.007480,-0.998776,0.009867,0.060059,-0.045654,0.396097,-0.169245,-0.215757,-0.068270,-0.133738,0.087195,-0.410185,0.331566,0.288303,-0.029023,0.041245,0.157473,1.293454,-0.394274,0.427477,-0.126728,-0.157941,-1.312124,0.313167,-0.477812,0.055488
0.300000,0.000849,0.001195,0.767236,0.047694,-0.007326,-0.998790,0.009469,0.059794,-0.046306,0.396423,-0.169590,-0.215819,-0.068275,-0.133553,0.086495,-0.409876,0.331410,0.288231,-0.029125,0.043321,0.159037,1.293361,-0.394362,0.426888,-0.126715,-0.158086,-1.312122,0.313064,-0.477183,0.054826
0.320000,0.000790,0.001363,0.767258,0.047353,-0.007257,-0.998814,0.008694,0.058843,-0.046794,0.397568,-0.169989,-0.216237,-0.068396,-0.132855,0.085856,-0.408858,0.330984,0.288127,-0.029152,0.045051,0.161832,1.293168,-0.394581,0.425455,-0.126429,-0.158004,-1.312113,0.312903,-0.476235,0.054534
0.340000,0.000714,0.001513,0.767273,0.047044,-0.007257,-0.998835,0.007924,0.057774,-0.047013,0.398925,-0.170087,-0.216635,-0.068450,-0.132268,0.085471,-0.407675,0.330682,0.288039,-0.029188,0.046358,0.163890,1.292977,-0.394846,0.425519,-0.126479,-0.157753,-1.312096,0.312730,-0.475118,0.054669
0.360000,0.000650,0.001647,0.767272,0.046827,-0.007279,-0.998851,0.007197,0.056862,-0.047142,0.400297,-0.170045,-0.216992,-0.068515,-0.131970,0.085194,-0.406451,0.330559,0.287997,-0.029279,0.047539,0.165596,1.292787,-0.395097,0.426590,-0.126792,-0.157319,-1.312069,0.312535,-0.473883,0.054984
0.380000,0.000585,0.001764,0.767262,0.046658,-0.007304,-0.998863,0.006587,0.056062,-0.047236,0.401517,-0.169933,-0.217271,-0.068605,-0.131778,0.084983,-0.405314,0.330564,0.288065,-0.029384,0.048790,0.167176,1.292596,-0.395287,0.428269,-0.126953,-0.156740,-1.312033,0.312298,-0.472405,0.055230
