# num_dofs: 23
# playback_mesh_z_lift: -0.001421
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,-0.000140,0.000667,0.757779,0.005234,0.014311,0.676928,0.735892,0.002250,-0.006540,0.316452,-0.190788,-0.311524,0.055324,-0.000625,0.011796,-0.436085,0.189691,0.355640,0.039595,-0.007505,-0.006754,1.265664,-0.573069,0.458135,0.166398,-0.031670,-1.268520,0.527298,-0.401372,-0.236034
0.020000,-0.000222,0.000603,0.757831,0.005511,0.014058,0.676867,0.735951,0.001574,-0.006433,0.317928,-0.190983,-0.311385,0.055554,0.000069,0.012011,-0.436170,0.189707,0.355460,0.039569,-0.005712,0.019783,1.294104,-0.575976,0.419146,0.155917,-0.057567,-1.293590,0.533073,-0.364853,-0.229113
0.040000,-0.000322,0.000564,0.757839,0.005557,0.014046,0.676850,0.735966,0.002067,-0.006340,0.318293,-0.191882,-0.312048,0.056600,-0.000209,0.012370,-0.436779,0.190481,0.356663,0.039694,-0.004406,0.035689,1.310644,-0.579073,0.397186,0.152701,-0.073582,-1.308113,0.538210,-0.343070,-0.226004
0.060000,-0.000348,0.000554,0.757834,0.005442,0.013968,0.676793,0.736020,0.002903,-0.006687,0.318170,-0.193320,-0.312957,0.057272,-0.000713,0.012273,-0.436674,0.191368,0.357152,0.039528,-0.003506,0.045076,1.318885,-0.582148,0.386396,0.151948,-0.082145,-1.315703,0.541819,-0.332232,-0.225009
0.080000,-0.000336,0.000548,0.757820,0.005274,0.013798,0.676646,0.736160,0.004259,-0.007484,0.318164,-0.196128,-0.314064,0.057708,-0.001119,0.011887,-0.435865,0.192030,0.356478,0.039224,-0.003300,0.051061,1.322402,-0.585530,0.381906,0.150365,-0.086461,-1.319402,0.544203,-0.327527,-0.224510
0.100000,-0.000345,0.000577,0.757781,0.005011,0.013687,0.676555,0.736248,0.006640,-0.008533,0.317946,-0.200540,-0.316156,0.058771,-0.001694,0.011434,-0.435730,0.192680,0.356637,0.038852,-0.003037,0.054334,1.323611,-0.589316,0.381609,0.147531,-0.088951,-1.321086,0.545834,-0.325914,-0.224726
0.120000,-0.000314,0.000751,0.757751,0.004890,0.013450,0.676200,0.736580,0.007395,-0.009356,0.318318,-0.203216,-0.317911,0.059829,-0.001630,0.010954,-0.435144,0.193180,0.357097,0.038941,-0.003520,0.055441,1.323883,-0.592384,0.381688,0.145986,-0.090037,-1.321823,0.546239,-0.325676,-0.225577
0.140000,-0.000199,0.000969,0.757760,0.004845,0.013013,0.675815,0.736941,0.006434,-0.010197,0.319231,-0.203735,-0.318553,0.060288,-0.000850,0.010144,-0.434601,0.193392,0.357932,0.039134,-0.004246,0.055431,1.323752,-0.595471,0.381814,0.145245,-0.089928,-1.322187,0.545705,-0.326379,-0.226548
0.160000,-0.000121,0.001127,0.757767,0.004792,0.012689,0.675567,0.737174,0.005626,-0.010687,0.319480,-0.203754,-0.318723,0.060373,-0.000339,0.009616,-0.434420,0.193498,0.357927,0.039309,-0.003823,0.055077,1.323731,-0.595703,0.381547,0.144251,-0.090055,-1.322201,0.545685,-0.327006,-0.226855
0.180000,-0.000105,0.001259,0.757751,0.004500,0.012587,0.675339,0.737386,0.005443,-0.011200,0.319795,-0.203636,-0.319107,0.060513,-0.000528,0.009101,-0.433924,0.193614,0.357201,0.039075,-0.003576,0.054504,1.323702,-0.596023,0.380783,0.143395,-0.090050,-1.322211,0.545732,-0.327619,-0.226874
0.200000,-0.000071,0.001340,0.757722,0.003859,0.012886,0.675103,0.737601,0.006428,-0.011780,0.320122,-0.203392,-0.319500,0.061313,-0.001909,0.008529,-0.433096,0.193582,0.357583,0.038489,-0.002818,0.052079,1.323697,-0.596815,0.380485,0.144616,-0.089993,-1.322238,0.545986,-0.328949,-0.227088
0.220000,-0.000048,0.001353,0.757702,0.003356,0.013230,0.674990,0.737700,0.007491,-0.012037,0.320339,-0.203148,-0.319631,0.061792,-0.003214,0.008183,-0.432627,0.193603,0.358242,0.038105,-0.002612,0.050299,1.323694,-0.597356,0.379857,0.145920,-0.089941,-1.322240,0.546245,-0.330055,-0.226840
0.240000,-0.000054,0.001403,0.757684,0.003106,0.013377,0.674829,0.737847,0.007786,-0.012108,0.320665,-0.202771,-0.319702,0.061477,-0.003876,0.008021,-0.432199,0.193724,0.358352,0.038188,-0.003633,0.050306,1.323661,-0.597629,0.377230,0.145346,-0.089924,-1.322230,0.546490,-0.330267,-0.226318
0.260000,-0.000130,0.001368,0.757648,0.002899,0.013596,0.674836,0.737837,0.008315,-0.011979,0.320890,-0.202376,-0.319705,0.061124,-0.004702,0.008159,-0.431849,0.193850,0.358166,0.038372,-0.004689,0.051732,1.323605,-0.597527,0.372746,0.144141,-0.090233,-1.322208,0.546607,-0.329997,-0.226487
0.280000,-0.000246,0.001263,0.757611,0.002668,0.013824,0.674950,0.737729,0.009135,-0.011845,0.320944,-0.202084,-0.319767,0.061385,-0.005747,0.008365,-0.431551,0.194051,0.357879,0.038570,-0.005264,0.053522,1.323550,-0.597159,0.367381,0.142494,-0.090660,-1.322182,0.546632,-0.329680,-0.226857
0.300000,-0.000281,0.001198,0.757586,0.002451,0.013898,0.674800,0.737866,0.009527,-0.011971,0.321053,-0.201773,-0.320102,0.061740,-0.006642,0.008378,-0.431142,0.194524,0.358366,0.038710,-0.006961,0.055781,1.323496,-0.596418,0.361509,0.141789,-0.090835,-1.322159,0.546571,-0.329225,-0.227231
0.320000,-0.000332,0.001101,0.757567,0.001939,0.014042,0.674573,0.738073,0.010218,-0.012283,0.321269,-0.201031,-0.320063,0.062706,-0.008862,0.008218,-0.429643,0.196462,0.357863,0.037318,-0.010356,0.060236,1.323444,-0.593618,0.351466,0.155335,-0.091091,-1.322111,0.546101,-0.328231,-0.229530
0.340000,-0.000405,0.000922,0.757546,0.001429,0.014570,0.674544,0.738090,0.011031,-0.011954,0.321642,-0.198837,-0.318776,0.062720,-0.013271,0.009049,-0.427445,0.201285,0.358793,0.036002,-0.006950,0.061322,1.323313,-0.572693,0.345158,0.151964,-0.091443,-1.321748,0.546675,-0.329524,-0.225400
0.360000,-0.000499,0.000722,0.757552,0.001088,0.015014,0.674726,0.737915,0.011919,-0.011527,0.321171,-0.197161,-0.317604,0.062409,-0.014841,0.009227,-0.427856,0.201276,0.358730,0.035740,-0.005992,0.063563,1.323027,-0.558570,0.339112,0.160269,-0.092633,-1.321561,0.547297,-0.328748,-0.225190
0.380000,-0.000557,0.000503,0.757555,0.000769,0.015350,0.674366,0.738237,0.012295,-0.011274,0.321902,-0.195511,-0.316863,0.062042,-0.016501,0.009301,-0.427200,0.201377,0.358395,0.035691,-0.006750,0.066500,1.322655,-0.547609,0.333882,0.165321,-0.093685,-1.321463,0.546895,-0.328077,-0.225922
