# num_dofs: 23
# playback_mesh_z_lift: -0.028446
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,0.000086,0.000283,0.753671,-0.008927,0.009468,0.723065,0.690657,-0.016432,0.039239,0.439870,-0.154383,-0.295759,-0.027342,0.003556,-0.036432,-0.362831,0.188148,0.278616,0.097938,0.093337,-0.078739,1.278121,-0.529325,0.403415,-0.003340,0.124760,-1.321253,0.507452,-0.433689,-0.031046
0.020000,0.001068,0.000430,0.753873,-0.012274,0.008255,0.723795,0.689856,-0.007939,0.029673,0.442856,-0.166213,-0.298963,-0.027547,0.005784,-0.046050,-0.361494,0.175533,0.263200,0.102702,0.096973,-0.043106,1.304507,-0.517431,0.352549,-0.014148,0.106189,-1.334520,0.498205,-0.422162,-0.027963
0.040000,0.000129,-0.000036,0.754672,-0.018609,0.016666,0.716969,0.696658,0.015630,0.035037,0.466665,-0.170652,-0.285716,-0.024787,-0.033967,-0.045884,-0.437921,0.203975,0.251966,0.108920,0.082318,-0.026748,1.315996,-0.542544,0.353902,-0.037702,0.066792,-1.336021,0.490275,-0.424362,-0.014840
0.060000,-0.000185,-0.000391,0.754384,-0.019937,0.020550,0.713203,0.700372,0.020882,0.037568,0.449387,-0.166640,-0.293378,-0.006655,-0.032712,-0.037347,-0.343106,0.179960,0.267545,0.079399,0.072493,-0.014429,1.320896,-0.554317,0.352597,-0.041613,0.047658,-1.334877,0.476256,-0.434981,-0.025812
0.080000,-0.000177,-0.002015,0.755734,-0.027590,0.031403,0.706746,0.706232,0.047099,0.035986,0.409175,-0.165636,-0.292979,0.025175,-0.071240,-0.031454,-0.329981,0.188595,0.250593,0.071739,0.055511,-0.016832,1.323926,-0.518655,0.391003,-0.102441,0.043120,-1.333810,0.438991,-0.487897,0.063158
0.100000,0.000080,-0.002170,0.756272,-0.031826,0.037978,0.706372,0.706105,0.066732,0.037757,0.407138,-0.172913,-0.283247,0.019389,-0.089028,-0.027757,-0.325175,0.190264,0.245822,0.062542,0.056093,-0.024343,1.325429,-0.488198,0.422817,-0.156528,0.038780,-1.332467,0.418986,-0.530497,0.138862
0.120000,0.000135,-0.001703,0.756072,-0.031771,0.038026,0.706335,0.706141,0.065893,0.038116,0.408052,-0.173256,-0.287311,0.019415,-0.088407,-0.028116,-0.327548,0.189780,0.246789,0.062438,0.055726,-0.022063,1.325396,-0.488959,0.429290,-0.167145,0.031079,-1.332198,0.420839,-0.546353,0.153261
0.140000,-0.000096,-0.001057,0.755920,-0.030854,0.037684,0.707055,0.705480,0.063993,0.038477,0.406963,-0.174450,-0.288502,0.021014,-0.085825,-0.027287,-0.328871,0.190420,0.249257,0.064733,0.057911,-0.018986,1.325341,-0.488972,0.429911,-0.165070,0.023369,-1.331984,0.421653,-0.561513,0.158988
0.160000,-0.000035,-0.000520,0.755873,-0.031238,0.038171,0.707542,0.704948,0.065000,0.038647,0.406477,-0.176974,-0.288185,0.020743,-0.086267,-0.025961,-0.328313,0.191543,0.248682,0.064129,0.059682,-0.013385,1.325241,-0.488726,0.434634,-0.162917,0.014983,-1.331728,0.422318,-0.574992,0.158715
0.180000,0.000057,-0.000078,0.755714,-0.031173,0.037823,0.706956,0.705558,0.064814,0.037706,0.406233,-0.178774,-0.292358,0.022965,-0.086098,-0.026337,-0.328023,0.193404,0.251054,0.064112,0.058275,-0.005458,1.325059,-0.487988,0.440164,-0.160448,0.005144,-1.331423,0.422410,-0.587074,0.157610
0.200000,-0.000229,0.000592,0.755898,-0.031236,0.038196,0.707257,0.705232,0.066966,0.037710,0.404701,-0.184921,-0.296627,0.025024,-0.086782,-0.024395,-0.326015,0.196269,0.251950,0.062912,0.058720,0.007298,1.324670,-0.486583,0.439864,-0.155050,-0.007070,-1.330895,0.422312,-0.592244,0.142713
0.220000,-0.000108,0.001050,0.756049,-0.031401,0.038718,0.707618,0.704834,0.068359,0.038945,0.405378,-0.190456,-0.294655,0.025062,-0.087286,-0.023380,-0.324567,0.197348,0.252124,0.062323,0.059168,0.013206,1.324477,-0.486165,0.446237,-0.155433,-0.014205,-1.330635,0.422415,-0.600891,0.141635
0.240000,-0.000289,0.001771,0.755910,-0.030894,0.037931,0.707507,0.705011,0.068570,0.036580,0.404564,-0.193703,-0.300758,0.025091,-0.084561,-0.023769,-0.324373,0.197715,0.256556,0.062018,0.059380,0.018858,1.324269,-0.485762,0.452231,-0.153546,-0.021694,-1.330372,0.422238,-0.606322,0.139389
