# num_dofs: 23
# playback_mesh_z_lift: -0.044648
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,0.000198,0.000741,0.760339,-0.021174,0.020667,0.728788,0.684100,0.033655,0.020486,0.395132,-0.243407,-0.360529,0.043729,-0.008159,-0.031977,-0.346915,0.162751,0.266832,0.104685,0.043519,-0.078719,1.168595,-0.662461,0.628699,0.049210,-0.006391,-1.280885,0.570890,-0.562458,-0.048860
0.020000,-0.001420,0.001370,0.760121,-0.020284,0.019421,0.728958,0.683982,0.035377,0.019780,0.399255,-0.256874,-0.372992,0.041458,-0.008805,-0.028583,-0.347414,0.173476,0.272894,0.108020,0.043899,-0.041776,1.214729,-0.666328,0.570593,0.032111,-0.032301,-1.307852,0.566761,-0.522596,-0.039037
0.040000,-0.003176,-0.001235,0.760796,-0.038272,0.039119,0.721574,0.690171,0.111347,0.020727,0.403562,-0.287934,-0.362639,0.047938,-0.075128,-0.021712,-0.326586,0.172821,0.261816,0.074159,0.014892,-0.019134,1.255089,-0.602233,0.584290,-0.069284,-0.028390,-1.322333,0.537264,-0.585267,0.081620
0.060000,-0.003996,0.000450,0.760501,-0.039823,0.039073,0.722036,0.689602,0.116213,0.018346,0.399088,-0.298021,-0.366093,0.046961,-0.080683,-0.021376,-0.328946,0.186146,0.270750,0.065280,0.015593,-0.006753,1.285015,-0.575799,0.558495,-0.109244,-0.022761,-1.329412,0.540354,-0.593051,0.126320
0.080000,-0.005189,0.002993,0.760126,-0.037554,0.035306,0.724665,0.687171,0.107656,0.017032,0.388474,-0.306029,-0.371394,0.048904,-0.072799,-0.019780,-0.339023,0.201134,0.284111,0.061644,0.025459,0.002909,1.304222,-0.568578,0.529754,-0.111876,-0.023460,-1.332597,0.542803,-0.587597,0.117382
0.100000,-0.006415,0.004865,0.759616,-0.037713,0.034746,0.726226,0.685541,0.108781,0.016948,0.379878,-0.314528,-0.375221,0.051535,-0.077348,-0.016880,-0.341605,0.219236,0.296421,0.053478,0.028194,0.009969,1.315112,-0.567224,0.516626,-0.117601,-0.024597,-1.333821,0.546362,-0.581915,0.120953
0.120000,-0.007697,0.007029,0.759381,-0.037202,0.032375,0.729091,0.682637,0.101921,0.017113,0.369733,-0.313404,-0.380458,0.052702,-0.078883,-0.014941,-0.348042,0.240265,0.309943,0.048155,0.036734,0.014197,1.320690,-0.564026,0.505957,-0.107935,-0.025519,-1.334275,0.545555,-0.579573,0.113099
0.140000,-0.008888,0.009018,0.758795,-0.036825,0.031663,0.729935,0.681789,0.101567,0.017850,0.360708,-0.322004,-0.390363,0.053795,-0.091879,-0.007981,-0.354392,0.279269,0.327772,0.040691,0.040238,0.014099,1.323434,-0.565690,0.502673,-0.108656,-0.027403,-1.334097,0.548196,-0.575808,0.107871
0.160000,-0.010523,0.011038,0.758110,-0.035171,0.030769,0.731274,0.680481,0.099245,0.020091,0.351007,-0.332020,-0.400826,0.056244,-0.110621,0.003066,-0.364640,0.333132,0.350162,0.033108,0.046811,0.010200,1.325100,-0.564724,0.503248,-0.103846,-0.029825,-1.333756,0.543392,-0.573138,0.099314
0.180000,-0.012011,0.013087,0.757334,-0.033034,0.030207,0.732698,0.679080,0.093674,0.024100,0.342690,-0.336490,-0.405802,0.056859,-0.137227,0.020016,-0.368623,0.403673,0.361593,0.022988,0.053302,0.008625,1.325704,-0.564852,0.501936,-0.100982,-0.035327,-1.333397,0.539046,-0.562700,0.093729
0.200000,-0.013257,0.015403,0.756379,-0.030272,0.028426,0.734335,0.677515,0.083735,0.028632,0.337697,-0.336776,-0.409838,0.056591,-0.166374,0.036969,-0.373969,0.482967,0.380481,0.013033,0.062390,0.004795,1.326595,-0.568709,0.504866,-0.094611,-0.036257,-1.333240,0.535149,-0.553573,0.077124
0.220000,-0.014363,0.018151,0.755833,-0.027178,0.025873,0.735569,0.676410,0.072187,0.030215,0.325999,-0.340413,-0.417391,0.060828,-0.193266,0.055572,-0.393960,0.563250,0.385436,0.015765,0.070809,0.008037,1.327307,-0.567729,0.495409,-0.090451,-0.037603,-1.333151,0.527129,-0.545834,0.064973
0.240000,-0.016151,0.020675,0.755535,-0.026214,0.025667,0.736826,0.675086,0.067849,0.033385,0.314771,-0.343054,-0.423161,0.065241,-0.223841,0.075594,-0.415886,0.636153,0.389551,0.005508,0.081328,0.009061,1.327747,-0.569247,0.497509,-0.090320,-0.036842,-1.333319,0.515071,-0.549220,0.053900
0.260000,-0.017346,0.023632,0.755209,-0.025780,0.024957,0.738781,0.672990,0.060430,0.034885,0.319545,-0.339550,-0.426238,0.064443,-0.252761,0.086732,-0.420998,0.684622,0.405323,-0.008199,0.094368,0.012787,1.327705,-0.573699,0.495294,-0.096316,-0.035121,-1.333425,0.510812,-0.550156,0.043674
0.280000,-0.018700,0.026619,0.755343,-0.026939,0.024029,0.741640,0.669826,0.055972,0.033646,0.310533,-0.338717,-0.428791,0.063182,-0.283301,0.090623,-0.422007,0.718600,0.410875,-0.006048,0.108873,0.026238,1.327416,-0.573566,0.488310,-0.089172,-0.037162,-1.333388,0.505167,-0.548254,0.030063
0.300000,-0.019874,0.030974,0.755639,-0.027252,0.022348,0.743202,0.668138,0.041774,0.033469,0.299931,-0.328228,-0.427281,0.061490,-0.310445,0.092876,-0.427062,0.738258,0.409271,-0.010245,0.117112,0.035927,1.326893,-0.575343,0.484969,-0.093161,-0.032148,-1.333374,0.494982,-0.548612,0.023461
0.320000,-0.020778,0.036175,0.755822,-0.026466,0.020025,0.747530,0.663399,0.023034,0.033101,0.289049,-0.314375,-0.424099,0.055836,-0.324595,0.092714,-0.438643,0.727776,0.398184,-0.005435,0.135528,0.043055,1.326473,-0.575071,0.483117,-0.086739,-0.026979,-1.333234,0.489134,-0.546859,0.025399
0.340000,-0.021842,0.041894,0.755868,-0.026236,0.020595,0.752488,0.657760,0.008524,0.035572,0.267486,-0.298275,-0.420819,0.053079,-0.346176,0.094983,-0.444970,0.713942,0.387439,0.001630,0.155697,0.052502,1.325754,-0.575264,0.486774,-0.090699,-0.020561,-1.333249,0.484047,-0.547888,0.027064
0.360000,-0.023004,0.047444,0.755657,-0.025761,0.019321,0.754419,0.655603,-0.011302,0.037230,0.262704,-0.281202,-0.418893,0.048144,-0.365316,0.093887,-0.449475,0.690323,0.370876,0.003501,0.164383,0.062062,1.325080,-0.577518,0.489711,-0.086198,-0.012723,-1.333289,0.484287,-0.544444,0.024341
0.380000,-0.023693,0.053467,0.755007,-0.024109,0.017514,0.756183,0.653681,-0.034658,0.038280,0.257367,-0.264726,-0.421046,0.043047,-0.383673,0.091237,-0.447554,0.664056,0.355421,0.009481,0.172181,0.074927,1.324253,-0.579904,0.490826,-0.088179,-0.007545,-1.333132,0.488336,-0.534916,0.042137
0.400000,-0.024342,0.058989,0.753874,-0.026740,0.018314,0.758203,0.651212,-0.043882,0.037509,0.240756,-0.251690,-0.413280,0.042648,-0.411438,0.086464,-0.448023,0.631602,0.332961,0.020747,0.182802,0.091381,1.322948,-0.582164,0.496558,-0.088646,-0.008968,-1.333179,0.488873,-0.518743,0.043733
0.420000,-0.025394,0.065884,0.752875,-0.023468,0.017370,0.759481,0.649875,-0.070351,0.041473,0.241290,-0.235337,-0.422305,0.032812,-0.427669,0.086805,-0.443929,0.602887,0.315277,0.026914,0.192789,0.096492,1.322193,-0.583416,0.509944,-0.087252,-0.009686,-1.332987,0.489711,-0.506351,0.063661
0.440000,-0.027186,0.070937,0.751388,-0.025103,0.017914,0.760142,0.649024,-0.080817,0.043013,0.242664,-0.225687,-0.433856,0.031504,-0.459106,0.083930,-0.434520,0.575372,0.286526,0.037597,0.196656,0.114078,1.321407,-0.585056,0.511463,-0.089346,-0.005839,-1.332935,0.492571,-0.502026,0.066921
0.460000,-0.026939,0.080808,0.749782,-0.021398,0.019230,0.758187,0.651402,-0.112726,0.049826,0.250623,-0.204532,-0.438204,0.016788,-0.472078,0.081176,-0.423223,0.542604,0.267263,0.041536,0.194417,0.119170,1.320122,-0.589530,0.521306,-0.089482,0.008591,-1.333292,0.499571,-0.485685,0.063235
0.480000,-0.027862,0.088589,0.748242,-0.018371,0.018316,0.756677,0.653274,-0.139736,0.054473,0.253966,-0.190574,-0.441607,0.010629,-0.485390,0.078046,-0.413710,0.512248,0.242013,0.046857,0.193125,0.130622,1.318421,-0.598047,0.519384,-0.087845,0.015485,-1.333861,0.514667,-0.466692,0.061860
0.500000,-0.028601,0.097775,0.746098,-0.017984,0.020321,0.759461,0.649987,-0.156010,0.056139,0.244956,-0.182478,-0.446512,0.001913,-0.501901,0.081094,-0.415129,0.484770,0.227361,0.053358,0.206873,0.137502,1.317257,-0.598870,0.523173,-0.086355,0.018236,-1.334231,0.521510,-0.450959,0.068007
0.520000,-0.029390,0.106996,0.743891,-0.015969,0.020675,0.759582,0.649887,-0.177914,0.059077,0.246629,-0.175475,-0.453180,-0.006220,-0.509628,0.080386,-0.418548,0.455287,0.219412,0.059324,0.212711,0.143025,1.316145,-0.593072,0.522169,-0.086973,0.022568,-1.334906,0.528170,-0.439116,0.074646
0.540000,-0.030346,0.116853,0.741505,-0.014164,0.020581,0.759783,0.649696,-0.199738,0.060559,0.247759,-0.171414,-0.460702,-0.010452,-0.517893,0.080508,-0.425106,0.436847,0.217441,0.063049,0.219669,0.144693,1.315789,-0.587108,0.521052,-0.088471,0.029654,-1.335630,0.536175,-0.425981,0.083811
0.560000,-0.030930,0.127030,0.738855,-0.012886,0.020505,0.760314,0.649104,-0.218334,0.060347,0.245256,-0.172097,-0.469861,-0.012069,-0.527412,0.081114,-0.431145,0.430152,0.216786,0.064793,0.227974,0.149708,1.315513,-0.586026,0.512946,-0.087627,0.033963,-1.336154,0.543052,-0.413925,0.081719
0.580000,-0.031454,0.138000,0.736225,-0.012412,0.020553,0.758951,0.650705,-0.237434,0.060821,0.251854,-0.172667,-0.478707,-0.016816,-0.538662,0.080510,-0.433915,0.436747,0.214682,0.066320,0.231096,0.152007,1.315591,-0.580196,0.504790,-0.089474,0.040401,-1.336781,0.538137,-0.409847,0.085902
0.600000,-0.032705,0.149687,0.733927,-0.010837,0.020342,0.761208,0.648099,-0.256716,0.059222,0.246039,-0.177736,-0.483412,-0.021452,-0.542658,0.087642,-0.442638,0.451374,0.223926,0.060349,0.243766,0.152097,1.316115,-0.581573,0.493341,-0.091246,0.048269,-1.337136,0.543469,-0.404870,0.081428
0.620000,-0.032713,0.162239,0.731729,-0.009657,0.020792,0.762626,0.646433,-0.275197,0.055046,0.234229,-0.183949,-0.489246,-0.017191,-0.545301,0.091316,-0.440278,0.473002,0.231333,0.055906,0.253178,0.152710,1.316187,-0.583234,0.480529,-0.091120,0.051194,-1.337186,0.545421,-0.394120,0.076106
0.640000,-0.032567,0.176037,0.729814,-0.011391,0.022670,0.765442,0.643004,-0.285997,0.046862,0.216138,-0.192108,-0.483107,-0.017996,-0.552623,0.096562,-0.435632,0.509517,0.231831,0.043864,0.265175,0.149090,1.316328,-0.585534,0.471030,-0.106279,0.048533,-1.336765,0.549416,-0.379792,0.122265
