# num_dofs: 23
# playback_mesh_z_lift: -0.061727
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,0.000049,-0.000206,0.748304,-0.013453,0.040308,0.409244,0.911435,0.023628,0.036214,0.424245,-0.115426,-0.257576,-0.020307,-0.041001,-0.029325,-0.384680,0.166333,0.232573,0.085772,0.041252,-0.040947,1.270866,-0.490365,0.535914,-0.043520,0.012438,-1.302436,0.432569,-0.506674,0.081596
0.020000,0.000051,-0.000412,0.748975,-0.012740,0.041417,0.409623,0.911225,0.024318,0.035741,0.415793,-0.122318,-0.262533,-0.001913,-0.042976,-0.029232,-0.375539,0.162886,0.231792,0.083508,0.044310,-0.015590,1.297689,-0.487300,0.507824,-0.060454,-0.002262,-1.315442,0.436770,-0.490027,0.101258
0.040000,0.000635,-0.000094,0.748421,-0.010916,0.038307,0.409993,0.911219,0.012798,0.036768,0.414943,-0.119446,-0.267346,0.000800,-0.032022,-0.029109,-0.377053,0.160020,0.239386,0.080594,0.045448,-0.003170,1.312704,-0.505359,0.477539,-0.084436,0.005708,-1.322533,0.457309,-0.482668,0.093451
0.060000,0.000520,-0.000144,0.748309,-0.010609,0.037975,0.409179,0.911602,0.011487,0.037169,0.414878,-0.119009,-0.268999,0.002680,-0.031863,-0.028612,-0.375213,0.159161,0.246485,0.074481,0.043891,0.004394,1.320422,-0.512536,0.467372,-0.095415,0.002777,-1.325737,0.463380,-0.478469,0.094851
0.080000,0.000670,-0.000274,0.748342,-0.010514,0.038486,0.409079,0.911626,0.012576,0.037562,0.414673,-0.119106,-0.269212,0.005276,-0.032280,-0.027659,-0.375592,0.160540,0.242531,0.079075,0.046777,0.008135,1.323970,-0.510734,0.458880,-0.089682,-0.000996,-1.326953,0.449087,-0.506201,0.058077
0.100000,0.000409,-0.000093,0.748359,-0.010238,0.039140,0.408558,0.911835,0.013481,0.039180,0.416335,-0.118828,-0.270170,0.005756,-0.032487,-0.026058,-0.367746,0.159378,0.237180,0.082752,0.045868,0.009340,1.325572,-0.514463,0.458345,-0.086804,0.001748,-1.327213,0.444055,-0.527929,0.045065
0.120000,0.001177,0.000191,0.748106,-0.009991,0.040213,0.412411,0.910055,0.016355,0.039255,0.408839,-0.120750,-0.270032,0.005229,-0.028852,-0.026568,-0.355330,0.150866,0.236408,0.080250,0.054931,0.007602,1.326006,-0.512104,0.462624,-0.085718,-0.002691,-1.326633,0.434136,-0.537663,0.044888
0.140000,0.002379,0.001026,0.748052,-0.008756,0.039653,0.416916,0.908037,0.013199,0.039885,0.402537,-0.121702,-0.268173,0.002030,-0.020104,-0.026745,-0.363119,0.143382,0.242951,0.078418,0.062786,0.003347,1.326199,-0.513875,0.464373,-0.083920,0.004548,-1.327708,0.426543,-0.531551,0.032472
0.160000,0.002800,0.001313,0.748080,-0.008556,0.039088,0.416533,0.908239,0.012762,0.039024,0.404459,-0.125176,-0.269690,0.001947,-0.016657,-0.027429,-0.365596,0.141635,0.241412,0.079804,0.058637,0.003444,1.326354,-0.515273,0.463628,-0.083813,0.007281,-1.328528,0.422736,-0.528455,0.030557
0.180000,0.002870,0.001567,0.747901,-0.008693,0.039998,0.415295,0.908766,0.015399,0.039604,0.406887,-0.128500,-0.275442,0.007302,-0.018374,-0.025309,-0.359438,0.141518,0.244734,0.074480,0.054674,0.003862,1.326313,-0.516156,0.464400,-0.086575,0.012358,-1.329349,0.424019,-0.533643,0.035734
0.200000,0.002605,0.001786,0.747992,-0.008648,0.041007,0.414770,0.908960,0.018036,0.040913,0.407261,-0.130761,-0.276686,0.009523,-0.019994,-0.023305,-0.357576,0.142049,0.243563,0.075031,0.052417,0.003865,1.326398,-0.516736,0.466112,-0.087932,0.012167,-1.329280,0.425110,-0.533101,0.042444
0.220000,0.002459,0.001843,0.748021,-0.009248,0.043789,0.414398,0.908995,0.026473,0.042599,0.408285,-0.135422,-0.279447,0.014696,-0.025914,-0.020387,-0.355608,0.141641,0.242040,0.074657,0.051513,0.006772,1.326386,-0.515829,0.475690,-0.088051,0.009218,-1.329221,0.424657,-0.535088,0.045195
0.240000,0.002431,0.002163,0.747810,-0.009765,0.045771,0.413944,0.909099,0.035933,0.041550,0.413786,-0.148729,-0.286125,0.014090,-0.029081,-0.018354,-0.360935,0.143966,0.242003,0.072800,0.048905,0.008021,1.326326,-0.512868,0.475820,-0.088744,0.005886,-1.329042,0.424521,-0.532567,0.058714
