# num_dofs: 23
# playback_mesh_z_lift: -0.032958
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,0.000258,0.000466,0.749404,-0.005974,0.012685,0.706786,0.707289,-0.005154,0.043780,0.382071,-0.194698,-0.313722,0.028990,-0.003223,-0.022208,-0.326403,0.200457,0.263448,0.096043,0.062720,-0.037465,1.235339,-0.531121,0.483110,0.027778,0.025632,-1.297820,0.466860,-0.453956,-0.078069
0.020000,-0.000472,0.001406,0.749269,-0.006245,0.013173,0.705995,0.708067,-0.003252,0.043739,0.388954,-0.200839,-0.316887,0.027294,-0.003518,-0.020745,-0.325092,0.201777,0.264767,0.094978,0.058722,-0.005412,1.268272,-0.535820,0.438330,0.013218,0.008098,-1.314516,0.466083,-0.425292,-0.071195
0.040000,-0.001775,0.001238,0.749091,-0.008904,0.017078,0.703036,0.710894,0.012743,0.045902,0.398924,-0.213937,-0.328771,0.039462,-0.012551,-0.017975,-0.316222,0.195724,0.265198,0.083988,0.058281,0.015882,1.290782,-0.523891,0.414725,0.013907,0.007529,-1.324359,0.422341,-0.440361,-0.091440
0.060000,-0.002496,0.002734,0.748948,-0.009635,0.017959,0.702784,0.711111,0.016497,0.046406,0.396460,-0.221740,-0.332484,0.043990,-0.012263,-0.016586,-0.316434,0.194542,0.270127,0.080521,0.054873,0.031418,1.304096,-0.523688,0.393551,0.000564,0.015314,-1.329729,0.397323,-0.452266,-0.097454
0.080000,-0.002388,0.004851,0.749449,-0.020116,0.027009,0.706836,0.706575,0.048279,0.042811,0.382360,-0.229324,-0.330419,0.042015,-0.035463,-0.020115,-0.326825,0.190832,0.265795,0.064725,0.058688,0.029260,1.311643,-0.489998,0.421903,-0.066515,0.030039,-1.331787,0.378902,-0.501229,-0.009287
0.100000,-0.002592,0.006925,0.749453,-0.027614,0.032351,0.709293,0.703629,0.070907,0.038921,0.375462,-0.239216,-0.332562,0.037456,-0.052318,-0.022721,-0.329373,0.193004,0.267743,0.051307,0.062922,0.020837,1.315398,-0.458646,0.448478,-0.117268,0.037379,-1.332131,0.373764,-0.530644,0.060576
0.120000,-0.003325,0.008953,0.749169,-0.028334,0.031864,0.709179,0.703738,0.071473,0.036384,0.377026,-0.248100,-0.342035,0.038260,-0.052428,-0.022630,-0.329627,0.199656,0.273127,0.050771,0.063961,0.017981,1.317081,-0.447969,0.447279,-0.118987,0.039028,-1.332405,0.371603,-0.533401,0.056443
0.140000,-0.004441,0.010013,0.749003,-0.031395,0.032974,0.707521,0.705224,0.080574,0.033458,0.381720,-0.258274,-0.348523,0.040200,-0.062912,-0.022288,-0.324748,0.209741,0.275962,0.050394,0.057727,0.021414,1.317599,-0.445631,0.447585,-0.124855,0.039246,-1.332846,0.375899,-0.534828,0.054515
0.160000,-0.005473,0.012245,0.748680,-0.031404,0.032648,0.707799,0.704961,0.078731,0.034719,0.379058,-0.262743,-0.354439,0.041126,-0.060702,-0.020768,-0.323960,0.214096,0.282933,0.047641,0.059564,0.018961,1.318029,-0.444537,0.450344,-0.126528,0.037709,-1.332672,0.375040,-0.537769,0.057677
0.180000,-0.006205,0.014595,0.748264,-0.031257,0.031932,0.708292,0.704504,0.078798,0.034224,0.372675,-0.272158,-0.362452,0.042892,-0.063026,-0.018732,-0.323306,0.229940,0.294821,0.046235,0.058923,0.013851,1.318525,-0.444832,0.452625,-0.129494,0.040060,-1.332674,0.376198,-0.536603,0.060219
0.200000,-0.007133,0.016974,0.747691,-0.031168,0.031662,0.708718,0.704091,0.080207,0.034095,0.366772,-0.284006,-0.371498,0.046657,-0.068849,-0.014699,-0.325302,0.251659,0.307628,0.044920,0.058963,0.011417,1.318913,-0.445132,0.453489,-0.124072,0.040312,-1.332624,0.376741,-0.535984,0.053664
