# num_dofs: 23
# playback_mesh_z_lift: -0.007497
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,0.000380,0.000371,0.745888,-0.034609,0.052547,0.688851,0.722167,0.060237,0.005448,0.452590,-0.191673,-0.307604,0.006513,-0.109278,0.017887,-0.372294,0.216976,0.264371,0.058573,0.103849,0.043505,1.218139,-0.516269,0.557610,-0.088881,-0.008887,-1.327186,0.464331,-0.480919,0.065660
0.020000,-0.000606,-0.000680,0.746403,-0.031662,0.049329,0.690640,0.720820,0.043135,0.008407,0.449331,-0.172302,-0.294834,-0.007091,-0.101778,0.019207,-0.377668,0.219076,0.264354,0.060099,0.112427,0.073949,1.251448,-0.528356,0.491631,-0.109686,-0.016268,-1.334745,0.462749,-0.470468,0.079249
0.040000,-0.001077,-0.000698,0.746619,-0.027841,0.045601,0.687867,0.723868,0.017485,0.015073,0.455857,-0.144429,-0.285693,-0.012512,-0.093049,0.019997,-0.373087,0.220892,0.263310,0.063317,0.104850,0.097444,1.275823,-0.537987,0.435035,-0.119545,-0.021999,-1.336690,0.455825,-0.445776,0.074155
0.060000,0.000415,-0.002004,0.747097,-0.029850,0.047680,0.697217,0.714650,0.032082,0.011074,0.435428,-0.147972,-0.276480,-0.012240,-0.093395,0.015941,-0.398125,0.210441,0.264448,0.059147,0.126449,0.115938,1.291283,-0.538390,0.402045,-0.131615,-0.023828,-1.337412,0.438255,-0.438761,0.073503
0.080000,0.000670,-0.005034,0.747388,-0.031738,0.046962,0.696176,0.715630,0.041138,0.006278,0.438969,-0.154090,-0.278921,-0.004121,-0.105429,0.013257,-0.395294,0.219785,0.264316,0.056539,0.117210,0.135512,1.300077,-0.537486,0.370191,-0.128336,-0.025231,-1.339162,0.407336,-0.440900,0.015092
0.100000,0.000036,-0.005654,0.747274,-0.025328,0.040851,0.696031,0.716401,0.021804,0.008376,0.438526,-0.152359,-0.280615,-0.002648,-0.086689,0.014692,-0.394690,0.219350,0.268664,0.052970,0.110127,0.133206,1.306131,-0.540947,0.355093,-0.109180,-0.023107,-1.339605,0.392236,-0.420914,0.002773
0.120000,-0.000398,-0.007198,0.747229,-0.023157,0.038843,0.694480,0.718090,0.016697,0.009352,0.439491,-0.151565,-0.279357,-0.002607,-0.083142,0.015163,-0.390791,0.218312,0.268011,0.052454,0.098105,0.135212,1.309369,-0.545642,0.349106,-0.104096,-0.016027,-1.339767,0.393713,-0.419795,-0.004987
0.140000,-0.000615,-0.008952,0.747353,-0.021512,0.037586,0.692218,0.720389,0.015305,0.009943,0.441515,-0.153593,-0.279700,-0.001307,-0.081390,0.015349,-0.386331,0.215871,0.266478,0.050086,0.085296,0.134752,1.311152,-0.544422,0.347335,-0.105195,-0.008293,-1.340142,0.391358,-0.428084,-0.020940
0.160000,-0.000667,-0.010660,0.747418,-0.023209,0.037920,0.690387,0.722073,0.022964,0.006929,0.444480,-0.158922,-0.279388,-0.002211,-0.087879,0.013006,-0.383829,0.215073,0.262612,0.049464,0.072769,0.138877,1.311409,-0.539286,0.347143,-0.106698,-0.000591,-1.340594,0.394560,-0.442049,-0.015756
0.180000,-0.001259,-0.011780,0.747608,-0.023038,0.037168,0.689920,0.722564,0.023838,0.006752,0.445428,-0.160973,-0.280378,0.000787,-0.087970,0.013337,-0.383111,0.215672,0.259821,0.046143,0.061130,0.137385,1.311460,-0.537831,0.350785,-0.107533,0.008241,-1.340515,0.400201,-0.458915,-0.005262
0.200000,-0.001758,-0.012012,0.747701,-0.021374,0.035047,0.690097,0.722552,0.017292,0.007315,0.445223,-0.158606,-0.278504,-0.001615,-0.081119,0.013148,-0.381499,0.212855,0.256958,0.048174,0.054432,0.135778,1.311300,-0.530836,0.348755,-0.098622,0.019011,-1.339789,0.420058,-0.477318,-0.001174
