# num_dofs: 23
# playback_mesh_z_lift: -0.000538
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,-0.000000,0.000412,0.753682,-0.013457,0.031184,0.708955,0.704435,-0.001496,-0.036109,0.497379,-0.116781,-0.225793,-0.030960,-0.033615,0.074418,-0.468988,0.149947,0.208136,0.096817,0.006618,-0.024490,1.236881,-0.571369,0.591639,-0.066464,-0.034908,-1.316547,0.465811,-0.421076,0.049628
0.020000,-0.000078,0.000060,0.753631,-0.013340,0.031498,0.708546,0.704835,-0.000501,-0.035514,0.497183,-0.117277,-0.227220,-0.029120,-0.035156,0.075192,-0.467425,0.150583,0.208520,0.096927,0.005878,0.006107,1.272964,-0.569803,0.544138,-0.077651,-0.048710,-1.329108,0.462040,-0.401076,0.052918
0.040000,-0.000782,0.003109,0.754430,-0.013088,0.026838,0.718938,0.694432,-0.006196,-0.042516,0.474578,-0.118368,-0.227282,-0.020689,-0.009366,0.064812,-0.496047,0.138991,0.213044,0.090113,0.037651,0.024818,1.296890,-0.580825,0.498594,-0.085240,-0.034171,-1.334133,0.466936,-0.444851,0.019578
0.060000,-0.000808,0.003266,0.754759,-0.015099,0.026292,0.721024,0.692247,-0.001730,-0.046810,0.469534,-0.120315,-0.226140,-0.017668,-0.009430,0.060148,-0.502985,0.137955,0.211072,0.088767,0.043783,0.041405,1.310509,-0.586844,0.473013,-0.092118,-0.030611,-1.335509,0.465924,-0.460337,0.008347
0.080000,-0.001073,0.002990,0.754668,-0.014257,0.026594,0.721749,0.691497,-0.001395,-0.045091,0.468030,-0.121512,-0.226939,-0.017715,-0.008212,0.062074,-0.505422,0.137484,0.212556,0.089040,0.045931,0.044728,1.318200,-0.586227,0.465819,-0.093738,-0.029768,-1.336028,0.458784,-0.469319,0.014131
0.100000,-0.001022,0.002746,0.754787,-0.014818,0.026673,0.721799,0.691429,0.000608,-0.045752,0.467802,-0.122292,-0.228007,-0.015564,-0.009828,0.061359,-0.504527,0.137316,0.211859,0.087319,0.046543,0.047688,1.322009,-0.584744,0.461685,-0.098350,-0.027667,-1.336116,0.455031,-0.482506,0.021479
0.120000,-0.001162,0.002629,0.754795,-0.014260,0.026216,0.721799,0.691459,-0.000928,-0.045323,0.468305,-0.122768,-0.228817,-0.016357,-0.008265,0.061724,-0.505394,0.137647,0.212868,0.086827,0.045335,0.048536,1.323845,-0.586109,0.457942,-0.097568,-0.026080,-1.336320,0.454679,-0.481099,0.020632
0.140000,-0.001455,0.002858,0.754671,-0.012673,0.025881,0.722001,0.691291,-0.004177,-0.043343,0.467731,-0.122589,-0.228029,-0.017603,-0.003997,0.063564,-0.505509,0.136110,0.212246,0.087939,0.045216,0.046451,1.324814,-0.588208,0.458139,-0.096592,-0.025271,-1.336374,0.453003,-0.479701,0.016511
0.160000,-0.001414,0.002431,0.754687,-0.014022,0.026313,0.721610,0.691657,-0.001050,-0.044744,0.468229,-0.122251,-0.227897,-0.017495,-0.007864,0.062394,-0.504094,0.136337,0.212643,0.086316,0.042909,0.049365,1.324811,-0.586250,0.455863,-0.095589,-0.025515,-1.336595,0.450557,-0.482161,0.011540
0.180000,-0.001491,0.002430,0.754731,-0.013913,0.026077,0.721317,0.691974,-0.001596,-0.044756,0.468771,-0.122509,-0.229545,-0.016459,-0.007528,0.062545,-0.503492,0.136491,0.212631,0.086896,0.041105,0.049668,1.325163,-0.584092,0.453668,-0.099153,-0.022561,-1.336939,0.445806,-0.486023,0.012847
0.200000,-0.001502,0.002390,0.754710,-0.014054,0.026304,0.720867,0.692431,-0.001207,-0.044359,0.470651,-0.122772,-0.229043,-0.016794,-0.008636,0.062770,-0.502665,0.136860,0.211610,0.086889,0.039974,0.049570,1.325269,-0.582281,0.453878,-0.098579,-0.022170,-1.337097,0.444919,-0.486539,0.015229
0.220000,-0.001782,0.002550,0.754633,-0.012765,0.025926,0.721309,0.692011,-0.004067,-0.042756,0.468869,-0.122358,-0.229090,-0.016792,-0.005047,0.064170,-0.504420,0.136043,0.212543,0.087857,0.040735,0.047113,1.325397,-0.582339,0.455259,-0.095037,-0.022237,-1.337003,0.446741,-0.483952,0.018076
0.240000,-0.001976,0.002538,0.754656,-0.012404,0.025794,0.721305,0.692025,-0.004813,-0.042179,0.468971,-0.122336,-0.229617,-0.016816,-0.004395,0.064756,-0.504022,0.136055,0.211967,0.087826,0.039184,0.047669,1.325402,-0.582172,0.456613,-0.094004,-0.021850,-1.336999,0.446837,-0.483239,0.019846
0.260000,-0.002219,0.002253,0.754718,-0.013117,0.026129,0.721695,0.691594,-0.002448,-0.042421,0.467810,-0.122531,-0.229797,-0.015835,-0.006457,0.064794,-0.504629,0.136413,0.212278,0.087346,0.040628,0.049114,1.325352,-0.580933,0.456647,-0.096006,-0.021882,-1.337108,0.445968,-0.486181,0.016832
0.280000,-0.002512,0.002220,0.754787,-0.012502,0.025857,0.722262,0.691023,-0.003069,-0.041652,0.466720,-0.123409,-0.230098,-0.015800,-0.004710,0.065672,-0.506294,0.136477,0.211352,0.088380,0.042679,0.047080,1.325574,-0.579858,0.457315,-0.098535,-0.021032,-1.337210,0.443607,-0.486353,0.015705
0.300000,-0.002873,0.002533,0.754676,-0.010363,0.024984,0.723061,0.690254,-0.007951,-0.039387,0.464137,-0.122923,-0.231167,-0.015750,0.001367,0.067725,-0.508599,0.135809,0.211033,0.089845,0.045458,0.043315,1.325921,-0.582944,0.457779,-0.095137,-0.020588,-1.337265,0.445144,-0.481721,0.014525
0.320000,-0.002934,0.002271,0.754718,-0.010913,0.025209,0.723044,0.690255,-0.006494,-0.039847,0.464352,-0.122925,-0.230645,-0.014424,-0.000175,0.067514,-0.508190,0.135881,0.210717,0.089616,0.045143,0.043993,1.325919,-0.582949,0.458643,-0.096197,-0.020844,-1.337271,0.445119,-0.483064,0.016506
