# num_dofs: 23
# playback_mesh_z_lift: -0.043829
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,-0.000172,0.000488,0.743666,0.028703,-0.014006,-0.951385,-0.306344,0.017494,0.018601,0.419998,-0.130140,-0.229836,-0.019503,-0.055321,-0.016367,-0.371994,0.155556,0.182407,0.070798,0.045920,-0.033776,1.180848,-0.664107,0.651334,-0.150955,-0.021665,-1.268944,0.579434,-0.571558,0.130100
0.020000,-0.000235,0.000313,0.743815,0.027251,-0.013974,-0.951409,-0.306404,0.015255,0.019462,0.420705,-0.131465,-0.230921,-0.017322,-0.052748,-0.015130,-0.369436,0.156159,0.183695,0.071180,0.048827,0.001257,1.226408,-0.668122,0.591745,-0.155180,-0.042274,-1.300035,0.559020,-0.544931,0.071511
0.040000,-0.000861,0.001247,0.743288,0.030451,-0.013650,-0.953616,-0.299171,0.024838,0.016434,0.405119,-0.135237,-0.242457,0.001339,-0.055641,-0.018917,-0.382905,0.155822,0.200939,0.065168,0.061766,0.031737,1.263063,-0.653841,0.547799,-0.158743,-0.046733,-1.318179,0.547733,-0.538029,0.089933
0.060000,-0.001084,0.001497,0.743234,0.030411,-0.013472,-0.954235,-0.297201,0.025054,0.015649,0.403525,-0.137416,-0.243625,0.001907,-0.054290,-0.019856,-0.388055,0.155615,0.207463,0.063532,0.065231,0.051886,1.289352,-0.643793,0.516709,-0.149110,-0.050316,-1.327293,0.540951,-0.530525,0.087385
0.080000,-0.001188,0.001345,0.743345,0.030362,-0.013008,-0.954337,-0.296901,0.024871,0.014642,0.403261,-0.138372,-0.242020,-0.001362,-0.054250,-0.020059,-0.388925,0.156753,0.205114,0.063925,0.065314,0.065227,1.305808,-0.644440,0.494606,-0.154556,-0.052709,-1.331280,0.539197,-0.525895,0.087455
0.100000,-0.001383,0.001212,0.743291,0.030621,-0.012986,-0.954479,-0.296417,0.026116,0.014592,0.402597,-0.139033,-0.242409,-0.000159,-0.054889,-0.019896,-0.391709,0.157556,0.205117,0.063328,0.065348,0.072934,1.315147,-0.644601,0.482066,-0.157930,-0.053934,-1.333084,0.536774,-0.522634,0.087808
0.120000,-0.001312,0.000890,0.743369,0.031373,-0.013564,-0.954576,-0.295999,0.029715,0.015923,0.399723,-0.139854,-0.246316,0.008616,-0.057842,-0.018600,-0.389867,0.158816,0.205543,0.062603,0.064476,0.077601,1.320013,-0.645510,0.477016,-0.158685,-0.055165,-1.333658,0.535264,-0.522410,0.089630
0.140000,-0.001624,0.000837,0.743360,0.030665,-0.013149,-0.954698,-0.295699,0.027302,0.015745,0.399551,-0.139882,-0.245363,0.006724,-0.055096,-0.018903,-0.389957,0.157825,0.205487,0.062965,0.064581,0.079721,1.322345,-0.648000,0.472573,-0.160447,-0.054385,-1.333818,0.534158,-0.521773,0.090315
0.160000,-0.001849,0.000527,0.743306,0.030154,-0.013030,-0.954875,-0.295186,0.026325,0.016044,0.400641,-0.141349,-0.244561,0.001518,-0.054073,-0.018100,-0.392297,0.158756,0.208506,0.062419,0.064808,0.078180,1.323543,-0.649792,0.473930,-0.160832,-0.054852,-1.333852,0.532026,-0.519087,0.089494
0.180000,-0.001948,0.000189,0.743338,0.030106,-0.013008,-0.955326,-0.293730,0.027822,0.016081,0.397348,-0.143048,-0.244103,0.000626,-0.054005,-0.017561,-0.393449,0.158564,0.207471,0.063675,0.066566,0.078321,1.324236,-0.648193,0.473145,-0.159090,-0.054909,-1.333810,0.531744,-0.517893,0.090718
0.200000,-0.002288,-0.000310,0.743359,0.030281,-0.013379,-0.955472,-0.293220,0.030292,0.017464,0.394404,-0.145057,-0.247239,0.006430,-0.054682,-0.015963,-0.393115,0.159506,0.206553,0.064371,0.067069,0.077407,1.324666,-0.646457,0.474892,-0.160333,-0.054466,-1.333957,0.529504,-0.517740,0.092523
