# num_dofs: 23
# playback_mesh_z_lift: -0.023920
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,-0.001229,-0.000613,0.677550,0.077491,-0.078281,-0.705280,-0.700320,0.542593,-0.115764,0.399121,-1.092095,-0.700000,0.146170,-0.118892,0.172796,-0.404669,1.426878,0.591046,-0.068417,-0.076480,-0.440593,1.087800,-0.033644,1.261075,0.585082,0.196991,-0.991138,0.321078,-1.416426,-0.141384
0.020000,-0.000509,0.044458,0.676726,0.065913,-0.070260,-0.733315,-0.673029,0.422403,-0.082460,0.337245,-1.026714,-0.700000,0.119256,-0.202338,0.175194,-0.401066,1.541691,0.592267,-0.090680,0.045600,-0.377344,1.113531,-0.091196,1.327239,0.578866,0.244854,-1.021647,0.429528,-1.331332,-0.122099
0.040000,0.003938,0.088808,0.676694,0.060336,-0.062374,-0.749202,-0.656632,0.294718,-0.080294,0.298887,-0.941580,-0.700000,0.087688,-0.333069,0.157078,-0.388872,1.610103,0.581970,-0.080091,0.148218,-0.277608,1.122548,-0.033528,1.336922,0.418866,0.207654,-1.051273,0.426297,-1.171332,-0.084235
0.060000,-0.006585,0.140567,0.677426,0.026317,-0.047891,-0.750952,-0.658092,0.134718,-0.027554,0.301150,-0.798418,-0.700000,0.046838,-0.326502,0.317078,-0.548872,1.580592,0.565061,-0.133212,0.202955,-0.236820,1.131826,-0.042282,1.401899,0.306782,0.245692,-1.073336,0.468259,-1.011332,-0.042238
0.080000,0.002932,0.189443,0.674539,0.057627,-0.056864,-0.746178,-0.660805,0.007021,-0.077843,0.298448,-0.742743,-0.700000,0.023158,-0.486502,0.348665,-0.541353,1.547222,0.587359,-0.160906,0.229060,-0.263165,1.123013,0.044857,1.561898,0.238277,0.298949,-1.090724,0.475544,-1.037819,-0.079788
0.100000,0.003127,0.243937,0.677619,0.052141,-0.045804,-0.752711,-0.654683,-0.138436,-0.090962,0.263315,-0.657620,-0.638970,-0.030743,-0.636200,0.349712,-0.578171,1.452377,0.568338,-0.123423,0.291486,-0.321438,1.119230,0.114107,1.720672,0.331180,0.346763,-1.101403,0.489053,-1.008547,-0.067907
0.120000,0.000397,0.297205,0.682684,0.050846,-0.046144,-0.755703,-0.651305,-0.259433,-0.093531,0.229356,-0.544977,-0.478970,-0.080400,-0.724456,0.324645,-0.585027,1.292377,0.483690,-0.040827,0.351428,-0.414928,1.105728,0.164815,1.880672,0.214271,0.365165,-1.104193,0.517061,-0.990420,-0.033811
0.140000,0.001391,0.352581,0.688093,0.051316,-0.043415,-0.757477,-0.649392,-0.360274,-0.115381,0.191220,-0.459905,-0.318970,-0.117918,-0.753805,0.282367,-0.615463,1.132377,0.406641,-0.018988,0.389581,-0.413944,1.094699,0.211342,2.000000,0.239939,0.391706,-1.104288,0.514046,-0.982803,-0.041801
0.160000,0.001980,0.408613,0.694091,0.043094,-0.040773,-0.757901,-0.649666,-0.435520,-0.125397,0.158323,-0.422016,-0.158970,-0.096246,-0.734167,0.229014,-0.618752,0.972377,0.284565,0.005283,0.416255,-0.357940,1.078836,0.198893,2.000000,0.256030,0.405079,-1.102623,0.493900,-0.956711,-0.037837
0.180000,0.002813,0.465035,0.697475,0.031304,-0.037253,-0.757516,-0.651000,-0.479459,-0.130839,0.144658,-0.445855,0.001030,-0.045820,-0.692729,0.187700,-0.600967,0.812377,0.174523,0.014937,0.423248,-0.322857,1.064867,0.176185,2.000000,0.256549,0.425768,-1.102959,0.438779,-0.942128,-0.049747
