# num_dofs: 23
# playback_mesh_z_lift: -0.040829
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,-0.000316,-0.001145,0.680487,-0.055056,0.145663,0.418780,0.894637,0.104979,0.008624,0.492176,-0.514253,-0.581366,-0.004221,-0.663805,0.141234,-0.432886,1.183683,0.700000,-0.017523,0.070417,-0.054605,1.121189,-0.513660,0.808377,0.323039,0.060001,-1.256122,0.447462,-0.405019,-0.074001
0.020000,0.021357,0.023106,0.680861,-0.048954,0.127704,0.407777,0.902781,0.155828,-0.026108,0.471242,-0.582950,-0.580804,0.005006,-0.528594,0.109737,-0.411172,1.090391,0.700000,-0.006724,0.011218,-0.075687,1.161205,-0.540833,0.705105,0.300767,-0.060053,-1.265485,0.480524,-0.501760,-0.004873
0.040000,0.041946,0.047354,0.683467,-0.043194,0.114054,0.401236,0.907819,0.272266,-0.048596,0.479354,-0.654625,-0.577616,0.016213,-0.377021,0.089930,-0.415802,0.957925,0.700000,-0.005895,-0.010795,-0.105779,1.200271,-0.542368,0.607082,0.270261,-0.220053,-1.253559,0.487156,-0.661760,0.031747
0.060000,0.062061,0.064937,0.690895,-0.047405,0.126069,0.382641,0.914027,0.392745,-0.208596,0.450403,-0.814625,-0.700000,0.176213,-0.313308,0.042684,-0.348777,0.828777,0.700000,-0.061961,-0.075736,-0.113319,1.224537,-0.532967,0.554583,0.307903,-0.295992,-1.244174,0.463954,-0.797429,-0.051581
0.080000,0.079636,0.085500,0.694689,-0.052762,0.143653,0.374451,0.914531,0.552745,-0.334846,0.456173,-0.974625,-0.700000,0.267277,-0.264760,0.033832,-0.336575,0.732821,0.700000,-0.061551,-0.118538,-0.131597,1.247274,-0.463335,0.555808,0.452526,-0.318195,-1.229659,0.357460,-0.937727,-0.128185
0.100000,0.101624,0.114697,0.698219,-0.046785,0.147216,0.373854,0.914534,0.712745,-0.318690,0.462993,-1.134625,-0.700000,0.264767,-0.161632,0.051252,-0.341718,0.660343,0.700000,-0.038783,-0.144168,-0.195978,1.260571,-0.488439,0.592140,0.336390,-0.318690,-1.210755,0.319576,-1.073555,-0.066278
0.120000,0.125517,0.144957,0.706278,-0.038632,0.141763,0.376436,0.914717,0.801880,-0.288462,0.444220,-1.294625,-0.540000,0.173798,-0.046423,0.054485,-0.305689,0.589762,0.700000,-0.028864,-0.173197,-0.237679,1.267500,-0.537358,0.606544,0.279130,-0.326284,-1.190156,0.312530,-1.172424,-0.046625
0.140000,0.151295,0.176348,0.712353,-0.038835,0.142518,0.377451,0.914172,0.913638,-0.246822,0.431663,-1.454625,-0.421872,0.132276,0.003453,0.060981,-0.270431,0.622897,0.700000,0.014996,-0.195160,-0.271903,1.268758,-0.513842,0.634256,0.359432,-0.328159,-1.164431,0.269315,-1.285415,0.058624
0.160000,0.180837,0.210839,0.720061,-0.040206,0.136049,0.370727,0.917843,0.934243,-0.272569,0.478511,-1.419778,-0.430865,0.122041,0.116108,0.059213,-0.209398,0.523755,0.540000,0.050377,-0.236685,-0.314187,1.265835,-0.508407,0.662988,0.338923,-0.278420,-1.140329,0.235376,-1.413380,0.074375
0.180000,0.207476,0.248200,0.729032,-0.033417,0.132103,0.371477,0.918388,0.936316,-0.210604,0.495320,-1.259778,-0.392121,0.078740,0.215972,0.082473,-0.169180,0.438159,0.380000,0.114883,-0.273623,-0.359255,1.263424,-0.495859,0.701752,0.360868,-0.230646,-1.115952,0.269051,-1.485758,0.077960
0.200000,0.234445,0.283289,0.737687,-0.035646,0.124895,0.372137,0.919045,0.928819,-0.168138,0.493239,-1.105693,-0.394782,0.081289,0.293663,0.086460,-0.107326,0.362607,0.220000,0.132576,-0.284988,-0.424784,1.264831,-0.503946,0.797939,0.406471,-0.212475,-1.096308,0.285416,-1.533746,0.036271
0.220000,0.263371,0.318758,0.743405,-0.041589,0.110938,0.375611,0.919173,0.876241,-0.163141,0.523907,-0.989720,-0.380174,0.029824,0.353428,0.083230,-0.072512,0.330931,0.060000,0.149156,-0.297538,-0.520595,1.276924,-0.531893,0.957939,0.413363,-0.168942,-1.081892,0.290121,-1.576658,0.005617
0.240000,0.291444,0.353383,0.746886,-0.038918,0.101186,0.384227,0.916851,0.826584,-0.142422,0.555324,-0.940092,-0.386165,0.051874,0.374253,0.099260,-0.134701,0.402823,-0.100000,0.108156,-0.295620,-0.360595,1.266358,-0.432830,0.797939,0.349654,-0.110182,-1.071800,0.266288,-1.594839,0.013570
0.260000,0.318539,0.387570,0.747357,-0.040185,0.095942,0.397328,0.911763,0.774037,-0.113309,0.570163,-0.912968,-0.412133,0.071422,0.367434,0.119648,-0.245618,0.518284,-0.050674,0.054379,-0.269654,-0.359479,1.259696,-0.394977,0.749659,0.337328,-0.058768,-1.062889,0.271183,-1.606593,-0.002650
0.280000,0.347494,0.420113,0.745676,-0.042420,0.087603,0.407307,0.908090,0.716092,-0.103369,0.563173,-0.931366,-0.394757,0.064088,0.344614,0.148559,-0.322128,0.665049,0.019547,-0.026916,-0.245840,-0.356205,1.254364,-0.378418,0.793192,0.315723,-0.026158,-1.056020,0.303897,-1.573371,0.011428
0.300000,0.374635,0.454558,0.741648,-0.039663,0.083186,0.422601,0.901618,0.652737,-0.063656,0.541181,-0.949306,-0.452847,0.116147,0.306552,0.192828,-0.392693,0.824322,0.110147,-0.099957,-0.203457,-0.338037,1.248280,-0.362159,0.835036,0.346896,-0.001912,-1.051744,0.335462,-1.512665,0.019840
0.320000,0.402079,0.487987,0.736188,-0.037903,0.074971,0.430878,0.898492,0.568550,-0.043638,0.526772,-0.965910,-0.575154,0.158951,0.252310,0.247224,-0.451384,0.984322,0.220775,-0.153250,-0.169596,-0.309811,1.243567,-0.351854,0.868259,0.341451,0.034833,-1.053413,0.364959,-1.442725,0.002721
0.340000,0.424545,0.519082,0.730005,-0.036381,0.078103,0.436346,0.895644,0.520663,-0.021548,0.505906,-0.989268,-0.660725,0.190158,0.129647,0.323049,-0.476095,1.144322,0.341395,-0.194018,-0.133656,-0.255180,1.241937,-0.339255,0.898375,0.300971,0.065955,-1.055257,0.370698,-1.370025,0.008677
0.360000,0.447440,0.547677,0.724603,-0.037519,0.085146,0.447667,0.889346,0.493443,-0.009782,0.474378,-1.021532,-0.700000,0.200977,-0.028905,0.370746,-0.475763,1.304322,0.453687,-0.236700,-0.085008,-0.190833,1.240310,-0.320596,0.934155,0.276373,0.091741,-1.057690,0.374212,-1.283632,0.003549
0.380000,0.471258,0.576762,0.720643,-0.035736,0.085044,0.470337,0.877652,0.436630,0.006427,0.420494,-1.017276,-0.700000,0.181314,-0.173875,0.407626,-0.490211,1.464322,0.530000,-0.247712,0.001628,-0.138047,1.236548,-0.289389,0.970139,0.251446,0.116211,-1.069069,0.392476,-1.181445,0.003693
0.400000,0.495959,0.606438,0.718470,-0.032503,0.078115,0.492948,0.865935,0.346884,0.016785,0.361948,-0.984712,-0.700000,0.149401,-0.303833,0.433178,-0.513628,1.537743,0.570028,-0.236453,0.086372,-0.066026,1.229723,-0.282081,0.989456,0.229697,0.143868,-1.083055,0.416346,-1.090665,-0.006444
0.420000,0.521498,0.639304,0.717890,-0.030310,0.066708,0.509643,0.857260,0.224656,0.014122,0.319545,-0.925033,-0.700000,0.099129,-0.420317,0.445296,-0.535504,1.543670,0.579580,-0.197922,0.157916,-0.001811,1.219232,-0.271168,1.012830,0.220341,0.179057,-1.096685,0.439364,-1.023208,-0.019498
0.440000,0.548635,0.675064,0.719985,-0.026447,0.049730,0.520880,0.851770,0.083695,0.002765,0.272884,-0.859683,-0.700000,0.063951,-0.518137,0.433849,-0.554099,1.498441,0.572220,-0.159171,0.216110,0.042661,1.206635,-0.257073,1.040864,0.210458,0.223782,-1.110195,0.453639,-0.969190,-0.035719
0.460000,0.576766,0.713259,0.723401,-0.022239,0.034260,0.534072,0.844452,-0.055138,-0.013301,0.221817,-0.793827,-0.676036,0.005728,-0.589421,0.422377,-0.582426,1.409860,0.526516,-0.089474,0.270750,0.056542,1.192445,-0.226658,1.106499,0.196769,0.273243,-1.120254,0.469067,-0.943387,-0.026202
0.480000,0.606814,0.754215,0.728959,-0.022631,0.027711,0.541308,0.840063,-0.193074,-0.033720,0.175834,-0.667038,-0.557208,-0.048991,-0.652842,0.393168,-0.608980,1.269033,0.444903,-0.039459,0.316241,0.020680,1.177118,-0.188518,1.223303,0.186388,0.320967,-1.126265,0.482524,-0.937534,-0.003743
0.500000,0.636960,0.795671,0.736597,-0.025012,0.024674,0.546812,0.836518,-0.301768,-0.063630,0.128192,-0.562601,-0.397208,-0.076699,-0.687771,0.340903,-0.627373,1.109033,0.298870,0.018906,0.356737,-0.042068,1.158506,-0.138798,1.353640,0.159946,0.371900,-1.130281,0.468574,-0.949622,-0.045437
0.520000,0.669467,0.838556,0.744884,-0.022224,0.021572,0.544042,0.838486,-0.385176,-0.078445,0.068734,-0.495099,-0.237208,-0.080993,-0.681757,0.250640,-0.608141,0.949033,0.138870,0.046419,0.378325,-0.131311,1.138705,-0.082299,1.485468,0.149831,0.411376,-1.131399,0.455916,-0.952255,-0.051856
0.540000,0.701640,0.880728,0.752417,-0.016178,0.018219,0.543127,0.839297,-0.409224,-0.085897,0.015478,-0.515943,-0.077208,-0.057822,-0.644941,0.164037,-0.563729,0.789033,0.002505,0.048450,0.402346,-0.228808,1.120536,-0.029541,1.603496,0.158622,0.425894,-1.129829,0.447088,-0.943573,-0.040863
0.560000,0.731839,0.921975,0.756563,-0.010462,0.017419,0.540175,0.841308,-0.375128,-0.087763,0.008839,-0.637536,0.007082,-0.030859,-0.612975,0.126558,-0.544622,0.629033,-0.053602,0.056635,0.406512,-0.311907,1.106361,0.015762,1.690720,0.166856,0.427174,-1.127008,0.438464,-0.946799,-0.026240
0.580000,0.761699,0.962228,0.757686,-0.002950,0.019357,0.529489,0.848091,-0.311891,-0.082651,0.058287,-0.797536,-0.069133,-0.008078,-0.590820,0.123886,-0.551656,0.548551,-0.055953,0.038432,0.383621,-0.370821,1.098820,0.033465,1.720164,0.189421,0.412799,-1.123256,0.425483,-0.951450,-0.019504
0.600000,0.790286,1.002011,0.756865,0.003497,0.015643,0.519629,0.854242,-0.236241,-0.102577,0.138707,-0.957536,-0.163876,0.030201,-0.544348,0.108468,-0.542782,0.621967,0.085482,-0.016219,0.352993,-0.393859,1.097983,0.018883,1.673774,0.229740,0.382086,-1.121259,0.424829,-0.946657,-0.031925
0.620000,0.817113,1.040147,0.755293,0.009745,0.008378,0.516152,0.856401,-0.149457,-0.148766,0.235260,-1.108636,-0.285131,0.079747,-0.470649,0.096426,-0.532756,0.678240,0.245482,-0.047660,0.326854,-0.354909,1.100668,-0.053428,1.542846,0.219226,0.329955,-1.119763,0.446006,-0.929858,-0.051332
0.640000,0.845099,1.075141,0.751975,0.009652,0.007524,0.512127,0.858822,-0.027935,-0.202792,0.317619,-1.216628,-0.422797,0.128130,-0.417542,0.075583,-0.508404,0.714508,0.405482,-0.090419,0.287482,-0.300527,1.106257,-0.128541,1.402335,0.196557,0.269621,-1.121206,0.464544,-0.937977,-0.051978
0.660000,0.873135,1.110061,0.748719,0.010399,0.008919,0.505422,0.862764,0.101123,-0.241809,0.381848,-1.275136,-0.520326,0.163060,-0.358029,0.051627,-0.496025,0.729370,0.557000,-0.129263,0.224716,-0.239785,1.112286,-0.194075,1.244858,0.181444,0.206218,-1.123810,0.474420,-0.951806,-0.053619
0.680000,0.899039,1.143393,0.746839,0.006475,0.014362,0.498785,0.866583,0.244955,-0.277586,0.443018,-1.277638,-0.578005,0.185207,-0.307483,0.034992,-0.498398,0.743165,0.637876,-0.142343,0.161933,-0.222445,1.127180,-0.262374,1.142880,0.144133,0.145984,-1.129911,0.469028,-0.970310,-0.062364
0.700000,0.924014,1.177829,0.747304,0.001970,0.023944,0.482617,0.875502,0.372915,-0.291019,0.508790,-1.204117,-0.612473,0.190245,-0.268889,0.025700,-0.467207,0.753715,0.671144,-0.128809,0.083784,-0.206725,1.145608,-0.317729,1.046149,0.148127,0.075814,-1.133831,0.463375,-0.994827,-0.049005
0.720000,0.951709,1.213585,0.752352,0.007223,0.020477,0.468238,0.883336,0.434085,-0.273809,0.553545,-1.046291,-0.587116,0.162736,-0.176021,0.019866,-0.434430,0.730419,0.655612,-0.084379,0.017641,-0.213281,1.166804,-0.331904,0.955117,0.142681,0.033906,-1.137864,0.436381,-1.018947,-0.026255
0.740000,0.980517,1.251890,0.760056,0.015568,0.009900,0.461541,0.886927,0.438323,-0.216214,0.554176,-0.886291,-0.458411,0.089973,-0.064341,0.023046,-0.414778,0.719665,0.594090,-0.048691,-0.014484,-0.235312,1.189571,-0.367230,0.867382,0.132989,0.006300,-1.141190,0.431671,-1.048197,-0.001491
0.760000,1.008877,1.290383,0.768076,0.020611,0.004105,0.455249,0.890116,0.424983,-0.151744,0.496626,-0.726291,-0.298411,0.015330,-0.003432,0.045340,-0.402922,0.773190,0.472686,-0.035528,-0.032168,-0.226742,1.209003,-0.404668,0.763065,0.133299,-0.029326,-1.141034,0.441527,-1.071819,0.025990
0.780000,1.036706,1.329028,0.775760,0.021676,0.000732,0.450074,0.892728,0.409992,-0.108214,0.391237,-0.566291,-0.138411,-0.009120,0.018628,0.075127,-0.416350,0.854359,0.321505,-0.056461,-0.034227,-0.217042,1.226247,-0.436662,0.673023,0.113644,-0.042730,-1.137847,0.453880,-1.129338,0.052164
0.800000,1.064510,1.367360,0.781864,0.021192,-0.004783,0.441043,0.897223,0.385481,-0.101055,0.342140,-0.406291,0.021589,-0.007733,0.016812,0.102336,-0.422521,0.934540,0.236408,-0.095781,-0.029430,-0.220605,1.244073,-0.464953,0.595891,0.100786,-0.044465,-1.132178,0.482546,-1.185799,0.049247
0.820000,1.092569,1.406363,0.784760,0.022378,-0.014192,0.433468,0.900779,0.346749,-0.107803,0.349256,-0.263376,0.110017,-0.027201,0.022694,0.122042,-0.452575,0.980951,0.264742,-0.127476,-0.008021,-0.233390,1.262155,-0.495610,0.522397,0.110674,-0.051826,-1.125826,0.516340,-1.189781,0.042765
0.840000,1.120386,1.444780,0.784597,0.023045,-0.020795,0.423501,0.905364,0.303326,-0.110811,0.309174,-0.294021,0.088801,-0.010734,0.008268,0.141243,-0.493968,1.008280,0.340033,-0.148568,0.014628,-0.251890,1.278028,-0.543101,0.475353,0.102522,-0.060595,-1.119479,0.549965,-1.161598,0.026640
0.860000,1.148238,1.483016,0.781786,0.022934,-0.024274,0.414945,0.909233,0.255963,-0.112323,0.307147,-0.362217,-0.062299,0.014470,-0.026789,0.148213,-0.522663,1.008768,0.408115,-0.121992,0.042426,-0.276289,1.291269,-0.602536,0.451222,0.066329,-0.064143,-1.113596,0.567801,-1.117753,-0.005552
0.880000,1.174108,1.519907,0.778900,0.021075,-0.028223,0.405801,0.913282,0.217618,-0.122545,0.329510,-0.462604,-0.221533,0.036381,-0.080960,0.142596,-0.537336,0.994940,0.463559,-0.100624,0.063655,-0.293200,1.302201,-0.657429,0.433246,0.030423,-0.060927,-1.107184,0.581859,-1.077667,-0.012171
0.900000,1.198100,1.553912,0.778129,0.017440,-0.019560,0.394283,0.918615,0.202305,-0.129053,0.370170,-0.546395,-0.322503,0.059020,-0.171610,0.134887,-0.541742,0.954305,0.470457,-0.069669,0.077205,-0.298517,1.310563,-0.692392,0.433515,0.015312,-0.072455,-1.099487,0.597026,-1.047277,-0.025148
0.920000,1.221316,1.586161,0.781917,0.018694,-0.009674,0.383497,0.923302,0.170272,-0.122631,0.403189,-0.592202,-0.350798,0.058123,-0.248794,0.120305,-0.545546,0.853986,0.442242,-0.054098,0.081467,-0.298936,1.316365,-0.722640,0.445983,0.010924,-0.097004,-1.090007,0.624075,-1.018081,-0.005460
0.940000,1.246863,1.618295,0.788489,0.021680,-0.013034,0.375066,0.926653,0.141779,-0.137292,0.410636,-0.688436,-0.329244,0.051322,-0.269333,0.078076,-0.541489,0.704074,0.345802,-0.030493,0.077822,-0.296370,1.320314,-0.740354,0.431148,0.032648,-0.112422,-1.082130,0.641587,-0.995292,-0.024542
0.960000,1.273145,1.649528,0.794855,0.024637,-0.017752,0.370232,0.928443,0.161984,-0.173451,0.403387,-0.848436,-0.232324,0.046486,-0.275701,0.032083,-0.513432,0.547641,0.188338,-0.009605,0.071934,-0.299190,1.323073,-0.745525,0.431386,0.056556,-0.126319,-1.075256,0.657462,-0.993715,-0.038280
0.980000,1.298718,1.679963,0.799512,0.026423,-0.019053,0.369460,0.928676,0.204565,-0.214720,0.394811,-0.989743,-0.123674,0.062215,-0.286391,-0.005803,-0.454995,0.419235,0.028338,0.020918,0.067813,-0.301447,1.325140,-0.728445,0.430723,0.084815,-0.144838,-1.068339,0.673004,-1.012411,-0.038275
1.000000,1.324009,1.710260,0.801950,0.027997,-0.017021,0.368600,0.929011,0.256736,-0.241716,0.378553,-1.087040,-0.067503,0.075780,-0.294834,-0.028371,-0.393614,0.333201,-0.091391,0.041603,0.053556,-0.307757,1.327233,-0.700877,0.434652,0.109518,-0.169418,-1.061011,0.682788,-1.039590,-0.033485
1.020000,1.349002,1.739925,0.801012,0.028610,-0.014710,0.363896,0.930884,0.289794,-0.277517,0.410331,-1.124162,-0.118835,0.101596,-0.304097,-0.035955,-0.369076,0.319895,-0.160654,0.035592,0.025896,-0.317656,1.329874,-0.669313,0.434384,0.135802,-0.199848,-1.053050,0.694129,-1.072162,-0.013240
1.040000,1.373954,1.770410,0.797038,0.033029,-0.013514,0.363411,0.930945,0.323305,-0.282018,0.416154,-1.098477,-0.175543,0.111784,-0.307445,-0.026719,-0.365180,0.366313,-0.166826,0.014270,0.006637,-0.331899,1.332949,-0.641720,0.428581,0.195217,-0.247567,-1.043794,0.723744,-1.091245,0.018959
1.060000,1.399904,1.801877,0.790321,0.040369,-0.015713,0.364055,0.930370,0.347320,-0.270663,0.417478,-1.024468,-0.231671,0.112290,-0.286615,-0.008632,-0.370245,0.459670,-0.006826,-0.007419,-0.010359,-0.357698,1.337250,-0.613583,0.417236,0.257482,-0.304525,-1.034784,0.770873,-1.089509,0.031314
1.080000,1.425863,1.832523,0.781333,0.046471,-0.017930,0.363237,0.930364,0.360263,-0.265921,0.426823,-0.908359,-0.245729,0.082964,-0.262573,0.017272,-0.401867,0.586557,0.153174,-0.026751,-0.031211,-0.385512,1.341144,-0.586360,0.412905,0.335070,-0.368392,-1.027106,0.831300,-1.080811,0.052364
1.100000,1.450684,1.860849,0.771850,0.049224,-0.019617,0.358831,0.931897,0.376383,-0.263437,0.430739,-0.769533,-0.232698,0.054407,-0.252179,0.037748,-0.396458,0.703995,0.308893,-0.046740,-0.047731,-0.382863,1.339504,-0.637674,0.387642,0.495070,-0.484059,-1.019400,0.943093,-1.057157,-0.014418
1.120000,1.476608,1.889428,0.762837,0.043370,-0.020432,0.358624,0.932250,0.403414,-0.283119,0.442523,-0.634948,-0.147937,0.034208,-0.227564,0.035305,-0.379858,0.772106,0.396576,-0.051055,-0.073305,-0.374742,1.339645,-0.595800,0.350018,0.552367,-0.517774,-1.018399,0.965180,-1.035674,-0.005403
1.140000,1.503486,1.917887,0.754167,0.037529,-0.021234,0.359900,0.931994,0.423100,-0.293701,0.445865,-0.489532,-0.020672,-0.014426,-0.185049,0.031395,-0.367235,0.814597,0.487017,-0.035260,-0.108924,-0.365255,1.342567,-0.497139,0.322939,0.475336,-0.508119,-1.021141,0.950179,-0.990467,0.039273
1.160000,1.531411,1.946994,0.745010,0.036364,-0.020451,0.362405,0.931086,0.432784,-0.284457,0.413401,-0.346524,0.108286,-0.057583,-0.110319,0.032551,-0.373489,0.812088,0.583180,-0.010012,-0.131823,-0.337888,1.342049,-0.418115,0.301546,0.418305,-0.500476,-1.026410,0.941836,-0.920745,0.092575
1.180000,1.559710,1.976109,0.734618,0.036227,-0.019293,0.368396,0.928762,0.454776,-0.288052,0.401057,-0.288498,0.170787,-0.060173,-0.014540,0.027247,-0.399557,0.769513,0.693738,-0.015163,-0.149931,-0.293676,1.337611,-0.390269,0.296091,0.433849,-0.493371,-1.029679,0.938764,-0.841634,0.049891
1.200000,1.588089,2.004853,0.722888,0.035460,-0.019137,0.372334,0.927224,0.493854,-0.311444,0.381166,-0.335313,0.195635,-0.058290,0.117879,0.004430,-0.431882,0.630349,0.700000,-0.041448,-0.169633,-0.239488,1.326262,-0.338735,0.294749,0.431818,-0.486223,-1.034806,0.916473,-0.756233,0.041244
