# num_dofs: 23
# playback_mesh_z_lift: -0.079774
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,0.000928,-0.000943,0.677298,0.086032,-0.030803,-0.983218,-0.157898,-0.310462,-0.087908,0.459880,-0.317749,-0.569043,0.013510,-0.947064,0.241379,-0.196783,1.239282,0.145191,0.100321,0.439864,-0.358031,0.915091,0.245510,1.937293,0.263321,0.659847,-0.939632,0.451854,-1.056055,-0.250935
0.020000,-0.042284,0.023969,0.687726,0.067731,-0.047733,-0.986995,-0.137748,-0.356746,-0.074149,0.619880,-0.313957,-0.514021,0.014395,-0.824294,0.375934,-0.356783,1.079283,0.187054,0.017810,0.500398,-0.395798,0.936046,0.236797,1.989682,0.265613,0.633766,-0.974826,0.405550,-0.978106,-0.231962
0.040000,-0.083756,0.050735,0.693501,0.057935,-0.047232,-0.986016,-0.148949,-0.448661,-0.082623,0.563608,-0.252285,-0.442583,-0.028253,-0.765251,0.301713,-0.516783,0.919283,0.111705,0.061203,0.494933,-0.434284,0.941791,0.213161,2.000000,0.189710,0.609967,-0.998710,0.377130,-0.927046,-0.233639
0.060000,-0.122859,0.078817,0.696743,0.056130,-0.047379,-0.984360,-0.160127,-0.455285,-0.111147,0.403608,-0.332310,-0.411858,-0.033467,-0.721192,0.229297,-0.514576,0.759283,0.030928,0.089304,0.470535,-0.448099,0.956608,0.186807,1.978893,0.292327,0.577195,-1.026766,0.326245,-0.887859,-0.293956
0.080000,-0.161085,0.105218,0.697857,0.048351,-0.048059,-0.982550,-0.173058,-0.442793,-0.112437,0.243608,-0.461946,-0.414610,-0.022221,-0.658199,0.189054,-0.522987,0.599283,-0.022083,0.126201,0.448602,-0.439795,0.970591,0.111493,1.884979,0.348564,0.541487,-1.051060,0.307297,-0.853816,-0.292623
0.100000,-0.201826,0.131030,0.696913,0.033677,-0.051013,-0.982958,-0.173373,-0.405512,-0.114109,0.173975,-0.621946,-0.394306,-0.012946,-0.608049,0.200657,-0.545729,0.477902,0.028428,0.102072,0.448509,-0.396418,0.975842,-0.009924,1.724979,0.232583,0.486929,-1.069049,0.323112,-0.810684,-0.254120
0.120000,-0.239381,0.157285,0.693123,0.027763,-0.053759,-0.980946,-0.184617,-0.349134,-0.142589,0.246335,-0.781946,-0.425143,0.043215,-0.563211,0.193884,-0.550454,0.513833,0.049977,0.076778,0.412304,-0.303052,0.984808,-0.165872,1.564979,0.230191,0.417334,-1.086674,0.349478,-0.775978,-0.259298
0.140000,-0.277346,0.184933,0.686027,0.017653,-0.052072,-0.978948,-0.196563,-0.299853,-0.197747,0.286764,-0.941946,-0.265143,0.072664,-0.506149,0.166848,-0.540572,0.580597,0.209977,-0.014063,0.361596,-0.214775,1.004175,-0.325872,1.404979,0.226739,0.368384,-1.102212,0.397944,-0.776425,-0.233403
0.160000,-0.309720,0.210538,0.676714,0.020432,-0.048922,-0.976620,-0.208332,-0.179734,-0.255546,0.298836,-1.101946,-0.161614,0.102084,-0.490011,0.142172,-0.531476,0.668301,0.369977,-0.084220,0.306135,-0.123355,1.028672,-0.440264,1.244979,0.218764,0.255148,-1.111088,0.409606,-0.740277,-0.234582
0.180000,-0.344111,0.236102,0.668953,0.013367,-0.037097,-0.975248,-0.217569,-0.074451,-0.303831,0.277465,-1.261946,-0.200758,0.118549,-0.452624,0.115997,-0.517258,0.774376,0.529977,-0.143446,0.250001,-0.119223,1.066905,-0.497821,1.084979,0.201320,0.205380,-1.125019,0.409483,-0.759853,-0.202439
