# num_dofs: 23
# playback_mesh_z_lift: -0.036657
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,0.000252,0.000338,0.758680,-0.007725,0.005338,0.925912,0.377623,0.019987,0.033144,0.353933,-0.159398,-0.351868,0.060904,-0.025709,0.019448,-0.468044,0.178464,0.347797,0.025732,0.054701,-0.065306,1.226659,-0.590468,0.516003,0.057761,0.038076,-1.274870,0.474582,-0.549267,-0.053650
0.020000,0.000998,0.000039,0.758752,-0.006900,0.005121,0.926145,0.377069,0.020077,0.032501,0.351949,-0.161282,-0.351580,0.060625,-0.025173,0.019226,-0.469700,0.179403,0.347182,0.027012,0.058238,-0.029840,1.263507,-0.590969,0.464060,0.045183,0.016860,-1.295402,0.476340,-0.521150,-0.049560
0.040000,0.000177,0.001399,0.758073,0.001002,0.001669,0.924835,0.380364,-0.006170,0.033263,0.356461,-0.153299,-0.360417,0.064535,-0.004815,0.018114,-0.463623,0.180402,0.360481,0.014824,0.057272,-0.016355,1.289297,-0.600343,0.425732,0.043497,0.014089,-1.307609,0.484640,-0.505107,-0.046222
0.060000,-0.000423,0.001821,0.757956,0.003914,0.000549,0.924470,0.381234,-0.016322,0.034415,0.357705,-0.148929,-0.362906,0.066942,0.003538,0.017787,-0.462295,0.177286,0.362655,0.012180,0.056087,-0.003516,1.305212,-0.606176,0.401082,0.039788,0.010560,-1.314004,0.488568,-0.492037,-0.042039
0.080000,-0.000430,0.001761,0.757904,0.004579,0.000530,0.924488,0.381183,-0.018083,0.034987,0.357274,-0.148305,-0.363058,0.066705,0.005446,0.018405,-0.464261,0.178030,0.363630,0.012508,0.056092,0.005604,1.313859,-0.609298,0.387474,0.036166,0.005847,-1.316896,0.489120,-0.484111,-0.042585
0.100000,0.000037,0.001688,0.757966,0.004397,0.000414,0.924405,0.381387,-0.017028,0.034372,0.358683,-0.148889,-0.362298,0.066851,0.003641,0.018157,-0.465358,0.180104,0.364515,0.011952,0.055007,0.012650,1.318182,-0.611251,0.378265,0.029515,0.005079,-1.318384,0.489260,-0.483719,-0.039765
0.120000,0.000054,0.001498,0.757936,0.003963,0.000498,0.924566,0.381001,-0.015913,0.034347,0.356660,-0.148464,-0.361467,0.067097,0.002698,0.017951,-0.462183,0.179871,0.363941,0.010775,0.054950,0.015757,1.320242,-0.615548,0.375488,0.030446,0.004338,-1.318902,0.492955,-0.483420,-0.041274
0.140000,0.000057,0.001445,0.757908,0.004432,0.000360,0.924564,0.381001,-0.017083,0.034394,0.356915,-0.148212,-0.361784,0.067103,0.003670,0.018107,-0.462190,0.179844,0.364351,0.011480,0.055481,0.015874,1.321397,-0.614208,0.373342,0.030120,0.004000,-1.319306,0.488368,-0.482759,-0.043191
0.160000,0.000058,0.001510,0.758016,0.004331,0.000374,0.924573,0.380981,-0.017207,0.034258,0.358231,-0.147938,-0.361046,0.065955,0.003938,0.017860,-0.462257,0.179263,0.364295,0.012612,0.053570,0.018205,1.321828,-0.615725,0.373246,0.030600,0.005429,-1.319376,0.491360,-0.483800,-0.042933
0.180000,0.000207,0.001524,0.758066,0.004855,0.000152,0.924544,0.381044,-0.018801,0.034336,0.359061,-0.146911,-0.361002,0.065838,0.005349,0.017795,-0.463533,0.178677,0.363575,0.012918,0.053870,0.017859,1.322023,-0.616425,0.373175,0.031389,0.005760,-1.319517,0.492610,-0.483603,-0.044151
0.200000,0.000259,0.001547,0.758047,0.004921,0.000145,0.924518,0.381106,-0.019088,0.034324,0.358923,-0.146597,-0.361074,0.065715,0.005471,0.017752,-0.463561,0.178722,0.363453,0.012794,0.053895,0.017834,1.322121,-0.616480,0.373273,0.032022,0.005387,-1.319547,0.493218,-0.483382,-0.043910
0.220000,0.000252,0.001428,0.758016,0.005042,0.000228,0.924424,0.381334,-0.019025,0.034578,0.358577,-0.146477,-0.361129,0.065652,0.005258,0.018156,-0.463186,0.179067,0.361211,0.012657,0.054316,0.017687,1.322129,-0.616541,0.374159,0.029389,0.004354,-1.319524,0.493000,-0.482225,-0.042146
0.240000,0.000564,0.001255,0.757994,0.005295,0.000293,0.924454,0.381256,-0.019164,0.034808,0.358323,-0.146489,-0.361772,0.064935,0.004778,0.018241,-0.463816,0.179781,0.363930,0.011475,0.054517,0.017087,1.322293,-0.618464,0.374415,0.028132,0.004145,-1.319624,0.491578,-0.482208,-0.040817
0.260000,0.000785,0.001224,0.758107,0.006076,-0.000088,0.924603,0.380884,-0.020715,0.034539,0.357520,-0.146673,-0.360385,0.065486,0.007184,0.017927,-0.464125,0.178831,0.361990,0.009992,0.054196,0.017777,1.322409,-0.620730,0.374044,0.032246,0.004289,-1.319630,0.495236,-0.480295,-0.041244
0.280000,0.000623,0.001250,0.758096,0.006444,-0.000314,0.924662,0.380734,-0.022520,0.034714,0.356463,-0.144582,-0.359179,0.063583,0.008639,0.017839,-0.463129,0.178127,0.362782,0.010856,0.053825,0.017864,1.322540,-0.620492,0.373979,0.032884,0.005474,-1.319722,0.495739,-0.480850,-0.042870
0.300000,0.000674,0.001316,0.758029,0.006693,-0.000640,0.924637,0.380790,-0.023469,0.034162,0.356417,-0.144567,-0.359043,0.063034,0.009675,0.017153,-0.462891,0.177404,0.362368,0.011729,0.054130,0.017676,1.322593,-0.620750,0.373904,0.032540,0.006126,-1.319840,0.496020,-0.482350,-0.043098
0.320000,0.000892,0.001312,0.758134,0.006925,-0.001240,0.924533,0.381036,-0.024845,0.033142,0.358372,-0.143529,-0.359101,0.062442,0.010541,0.016155,-0.462684,0.176939,0.361824,0.013122,0.053691,0.017072,1.322841,-0.618206,0.372314,0.030802,0.005096,-1.319814,0.494935,-0.481465,-0.038370
0.340000,0.000924,0.001436,0.758239,0.007369,-0.001491,0.924568,0.380943,-0.025913,0.032702,0.357967,-0.143841,-0.359208,0.061904,0.012536,0.015452,-0.463525,0.175463,0.361703,0.012513,0.054285,0.015883,1.322848,-0.619134,0.373306,0.033553,0.006071,-1.319872,0.496910,-0.481958,-0.040143
