# num_dofs: 23
# playback_mesh_z_lift: 0.051293
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,0.000926,-0.000316,0.774951,0.127519,-0.003160,-0.942775,-0.308064,0.283243,-0.159031,0.489132,-0.873671,-0.533101,0.071846,-0.350290,0.172481,-0.432582,0.857091,0.273223,0.069787,0.221168,-0.107851,1.004009,-0.153198,1.347147,0.236687,0.298063,-1.042294,0.286508,-0.728615,-0.082896
0.020000,-0.030119,0.032380,0.785130,0.114339,-0.005795,-0.950480,-0.288930,0.125652,-0.118066,0.452302,-0.713671,-0.693101,0.066129,-0.510290,0.246648,-0.411482,1.017091,0.433223,-0.041011,0.257445,-0.036319,1.021095,-0.165388,1.406675,0.255006,0.458063,-1.077258,0.446508,-0.888615,-0.007667
0.040000,-0.077863,0.067553,0.791973,0.084797,-0.021288,-0.967236,-0.238349,-0.034348,-0.072406,0.375573,-0.584267,-0.700000,0.043131,-0.670290,0.208859,-0.251482,1.177091,0.566551,0.028362,0.417445,-0.102929,1.044671,-0.098325,1.530563,0.250509,0.566319,-1.108299,0.547051,-0.975787,-0.167667
0.060000,-0.112556,0.100691,0.804129,0.090132,-0.023040,-0.966543,-0.239039,-0.126702,-0.090191,0.435817,-0.488704,-0.673287,0.023980,-0.830290,0.218398,-0.175054,1.323816,0.475893,0.070723,0.432816,-0.128772,1.057765,-0.023152,1.659650,0.157841,0.581893,-1.130032,0.494966,-0.970748,-0.296741
0.080000,-0.150894,0.136628,0.816421,0.084112,-0.021870,-0.967649,-0.236860,-0.237682,-0.109881,0.501700,-0.376491,-0.572226,0.052588,-0.950352,0.378398,-0.335054,1.409413,0.315893,0.041353,0.451964,-0.185655,1.063647,0.040697,1.780228,0.189866,0.631996,-1.149067,0.451817,-0.968539,-0.268618
0.100000,-0.185675,0.172275,0.827078,0.083250,-0.029370,-0.968064,-0.234648,-0.298297,-0.118195,0.553421,-0.312502,-0.504683,0.030699,-0.931944,0.412586,-0.495054,1.249413,0.155893,0.078355,0.465937,-0.253372,1.066658,0.104176,1.914891,0.187005,0.653009,-1.163391,0.421643,-0.970767,-0.237751
0.120000,-0.221826,0.207981,0.836098,0.077842,-0.032411,-0.968872,-0.232761,-0.361985,-0.130285,0.529423,-0.279288,-0.441264,-0.006935,-0.882645,0.323234,-0.482006,1.089413,-0.004107,0.108443,0.478534,-0.296647,1.069744,0.135414,1.999601,0.203698,0.655136,-1.168764,0.398788,-0.970417,-0.220475
0.140000,-0.256906,0.241057,0.843099,0.070951,-0.034341,-0.967740,-0.239301,-0.400935,-0.133561,0.369423,-0.324077,-0.397945,-0.021881,-0.797682,0.253126,-0.489471,0.929413,-0.074723,0.108748,0.482559,-0.298069,1.070418,0.146897,2.000000,0.191670,0.646925,-1.174275,0.369125,-0.964981,-0.205885
0.160000,-0.292048,0.273988,0.846289,0.062768,-0.036272,-0.964907,-0.252385,-0.416928,-0.138059,0.365097,-0.439555,-0.396240,-0.012900,-0.702598,0.203375,-0.532194,0.769413,-0.094530,0.143678,0.462690,-0.310898,1.072033,0.136813,2.000000,0.225621,0.625294,-1.176025,0.324286,-0.953491,-0.175639
0.180000,-0.329122,0.310321,0.844495,0.051322,-0.040345,-0.964532,-0.255768,-0.402555,-0.132139,0.306892,-0.596105,-0.381495,-0.016251,-0.672399,0.223684,-0.561183,0.609413,-0.047937,0.133266,0.450583,-0.363315,1.073143,0.116499,2.000000,0.259819,0.613011,-1.175212,0.294923,-0.952561,-0.153300
