# num_dofs: 23
# playback_mesh_z_lift: -0.061274
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,-0.001252,-0.000472,0.704087,-0.007646,0.034559,0.854491,0.518260,0.562665,-0.176092,0.660115,-0.486683,0.074411,-0.078248,0.169567,0.549645,-0.258448,1.305251,0.091649,-0.157419,-0.525895,-0.724927,1.035582,-0.302680,1.252346,0.284550,0.449502,-1.072102,-0.015326,-1.747087,-0.212895
0.020000,-0.033727,0.029804,0.696507,-0.010336,0.036482,0.860894,0.507370,0.530536,-0.140698,0.642569,-0.526689,0.065858,-0.064366,0.084153,0.563867,-0.209080,1.465251,0.131902,-0.196418,-0.487934,-0.651017,1.068538,-0.315309,1.221241,0.300155,0.450876,-1.083339,0.022977,-1.701584,-0.176341
0.040000,-0.068910,0.066810,0.684035,-0.034534,0.040440,0.875980,0.479407,0.576365,-0.094890,0.573554,-0.606295,-0.094142,0.020895,0.007516,0.517259,-0.195331,1.621099,0.183887,-0.221510,-0.391093,-0.606996,1.097819,-0.285347,1.255384,0.212108,0.477111,-1.094574,0.004264,-1.707302,-0.191486
0.060000,-0.100230,0.095438,0.672351,-0.045153,0.055806,0.882439,0.464917,0.595811,-0.051469,0.570377,-0.697636,-0.254142,0.098494,-0.095012,0.517250,-0.144272,1.734420,0.200757,-0.214051,-0.326246,-0.552999,1.125399,-0.276736,1.274666,0.208871,0.506651,-1.099862,-0.027021,-1.674784,-0.213523
0.080000,-0.129665,0.123377,0.659314,-0.059899,0.060585,0.890071,0.447790,0.635410,-0.047862,0.568031,-0.832939,-0.414142,0.174421,-0.196724,0.508056,-0.120319,1.816254,0.186320,-0.211971,-0.282330,-0.452448,1.142549,-0.305100,1.265864,0.184407,0.505645,-1.085900,0.011322,-1.599431,-0.075666
0.100000,-0.178484,0.157310,0.656285,-0.001911,0.014394,0.942772,0.333121,0.475522,0.023408,0.408031,-0.948271,-0.574142,0.206309,-0.036724,0.463535,-0.280319,1.796959,0.181531,-0.168680,-0.122330,-0.371741,1.158542,-0.338824,1.105864,0.181082,0.466455,-1.093203,0.114079,-1.439431,-0.093058
0.120000,-0.205575,0.180655,0.650349,-0.017226,0.023905,0.948531,0.315310,0.482031,0.042738,0.349391,-0.996256,-0.676247,0.217842,-0.050082,0.507367,-0.395627,1.840117,0.204855,-0.163057,0.037670,-0.265575,1.169285,-0.345762,1.094205,0.155501,0.411715,-1.094346,0.160961,-1.279431,-0.078447
0.140000,-0.234672,0.206779,0.651000,-0.023241,0.024963,0.952107,0.303856,0.423295,0.050979,0.313096,-0.977376,-0.700000,0.218120,-0.201572,0.519639,-0.391795,1.851576,0.225031,-0.173459,0.144420,-0.166590,1.169661,-0.352718,1.082590,0.155152,0.396109,-1.093845,0.200122,-1.146225,-0.101549
0.160000,-0.266713,0.236744,0.655563,-0.022667,0.020440,0.954947,0.295201,0.323203,0.044806,0.284470,-0.935911,-0.700000,0.192595,-0.329909,0.526733,-0.405534,1.835688,0.241115,-0.177731,0.185967,-0.126066,1.171120,-0.331023,1.117473,0.142525,0.403826,-1.097220,0.242089,-1.084040,-0.087614
0.180000,-0.300556,0.269673,0.664010,-0.011333,0.007296,0.958775,0.283847,0.187697,0.023224,0.245363,-0.893421,-0.700000,0.145859,-0.412273,0.503289,-0.433537,1.789995,0.270998,-0.179957,0.237962,-0.106719,1.170460,-0.315692,1.148440,0.115113,0.417604,-1.101952,0.285906,-1.021502,-0.078818
