# num_dofs: 23
# playback_mesh_z_lift: -0.000152
# retarget_backend: newton
# robot: ths_23dof
# sample_rate: 50.000000
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_torso_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint
0.000000,-0.000346,0.000204,0.711941,-0.016602,0.014169,0.909304,0.415560,0.613710,-0.073402,0.478148,-0.717684,-0.350822,0.098292,0.357914,0.061260,-0.226883,0.465252,0.275741,0.034262,-0.304165,-0.440828,1.167327,-0.695968,0.429880,0.072778,0.028757,-1.093733,0.343376,-0.802458,-0.089412
0.020000,-0.020493,0.017897,0.714675,-0.015985,0.014751,0.912256,0.409042,0.587464,-0.060742,0.464266,-0.747884,-0.401389,0.120299,0.301022,0.081627,-0.243367,0.625252,0.321407,0.014146,-0.268956,-0.409064,1.224506,-0.695658,0.387708,0.083484,0.024365,-1.115137,0.370314,-0.763823,-0.094353
0.040000,-0.039093,0.031784,0.717330,-0.025276,0.025955,0.913393,0.405462,0.569860,-0.027080,0.469126,-0.727746,-0.443842,0.161105,0.179794,0.092771,-0.157799,0.785252,0.359486,-0.003403,-0.230044,-0.355361,1.270518,-0.696589,0.359021,0.090942,-0.000098,-1.130488,0.401508,-0.723608,-0.099591
0.060000,-0.057422,0.045847,0.722035,-0.031516,0.030113,0.916624,0.397368,0.548417,-0.008123,0.455524,-0.722666,-0.457803,0.173147,0.085828,0.127144,-0.196948,0.945252,0.375461,-0.025098,-0.181831,-0.308131,1.303087,-0.682104,0.345570,0.098318,-0.005135,-1.145477,0.427802,-0.698473,-0.095677
0.080000,-0.074735,0.061769,0.728302,-0.030881,0.031256,0.920036,0.389364,0.497240,0.011782,0.436010,-0.693850,-0.475479,0.179309,0.008389,0.139727,-0.198005,1.062368,0.375396,-0.032100,-0.134135,-0.272032,1.322051,-0.669297,0.345284,0.099692,0.008009,-1.162241,0.456837,-0.683233,-0.098261
0.100000,-0.092423,0.077968,0.734991,-0.027539,0.029639,0.924238,0.379668,0.427071,0.032971,0.410737,-0.644312,-0.490146,0.189592,-0.052886,0.172638,-0.248825,1.148646,0.376030,-0.048558,-0.083470,-0.239148,1.330812,-0.657399,0.353466,0.100520,0.025813,-1.180934,0.471045,-0.661907,-0.113590
0.120000,-0.109383,0.093612,0.742331,-0.025256,0.026053,0.927225,0.372742,0.351122,0.044749,0.393646,-0.581150,-0.490603,0.178442,-0.135867,0.178707,-0.266864,1.224216,0.355094,-0.056033,-0.039520,-0.198887,1.332977,-0.650623,0.363541,0.097710,0.046597,-1.200372,0.484220,-0.640606,-0.111114
0.140000,-0.127569,0.109694,0.749496,-0.021957,0.021894,0.931408,0.362653,0.266468,0.057983,0.367200,-0.507287,-0.486107,0.163244,-0.185313,0.214208,-0.351050,1.240254,0.329129,-0.076275,0.012815,-0.160687,1.332212,-0.645770,0.378353,0.087748,0.074621,-1.219570,0.494170,-0.622564,-0.096056
0.160000,-0.144542,0.125779,0.755573,-0.021060,0.016480,0.933994,0.356286,0.185550,0.061409,0.350437,-0.431364,-0.469134,0.142962,-0.228014,0.251846,-0.428482,1.220377,0.279307,-0.066578,0.050520,-0.112005,1.328744,-0.634871,0.395371,0.101626,0.104397,-1.239432,0.497235,-0.604430,-0.077028
0.180000,-0.160987,0.142666,0.759674,-0.017921,0.012417,0.937160,0.348218,0.104963,0.065570,0.335168,-0.361016,-0.451302,0.117038,-0.284309,0.232802,-0.428071,1.192059,0.239959,-0.044395,0.090730,-0.061567,1.323766,-0.641642,0.404806,0.079776,0.132536,-1.257888,0.519860,-0.569264,-0.051222
0.200000,-0.177569,0.157893,0.762518,-0.014022,0.011061,0.940574,0.339120,0.032853,0.071981,0.320033,-0.304019,-0.433095,0.086979,-0.311285,0.273170,-0.507783,1.127983,0.302402,-0.057712,0.133643,-0.011531,1.318604,-0.646050,0.418081,0.092068,0.176138,-1.275360,0.533867,-0.548421,-0.142596
0.220000,-0.194552,0.173863,0.762963,-0.005491,0.011035,0.944195,0.329157,-0.046115,0.080358,0.304925,-0.254833,-0.428509,0.067672,-0.363330,0.244757,-0.489615,1.047695,0.402886,-0.110169,0.176581,0.029894,1.312668,-0.651881,0.451308,0.137474,0.168321,-1.286121,0.541791,-0.484018,-0.080278
0.240000,-0.211650,0.190566,0.761708,0.000979,0.010354,0.946907,0.321339,-0.121390,0.083864,0.291629,-0.206921,-0.422704,0.036663,-0.374172,0.245573,-0.522039,0.943606,0.358920,-0.013015,0.213545,0.069344,1.306985,-0.658593,0.470564,0.103170,0.194867,-1.294650,0.542026,-0.464489,-0.050238
0.260000,-0.228829,0.208767,0.759104,0.014233,0.001482,0.949618,0.313082,-0.217568,0.073908,0.283369,-0.159648,-0.420670,0.003221,-0.370845,0.219086,-0.540565,0.830817,0.345234,0.030008,0.245424,0.117176,1.300679,-0.657039,0.475273,0.106771,0.219453,-1.301111,0.533566,-0.416526,-0.054342
0.280000,-0.245532,0.225164,0.754500,0.021049,0.000687,0.952231,0.304651,-0.280374,0.071098,0.275327,-0.137990,-0.428340,-0.017268,-0.387884,0.204277,-0.547344,0.708270,0.304253,0.074182,0.276969,0.158278,1.294011,-0.669321,0.502386,0.099105,0.241594,-1.305820,0.533586,-0.382262,-0.049081
0.300000,-0.261696,0.243111,0.748996,0.022811,-0.000236,0.954001,0.298933,-0.329319,0.062537,0.276263,-0.125764,-0.444758,-0.032633,-0.405493,0.177323,-0.546218,0.564747,0.215864,0.111325,0.298352,0.209898,1.286759,-0.677627,0.514672,0.070626,0.255989,-1.308873,0.526268,-0.351416,-0.014711
0.320000,-0.278403,0.257385,0.742416,0.023887,0.004655,0.956091,0.292058,-0.366389,0.065300,0.257624,-0.121709,-0.464125,-0.034627,-0.429606,0.173240,-0.532055,0.428147,0.084001,0.152642,0.317338,0.268642,1.278504,-0.679385,0.539268,0.104654,0.254794,-1.309436,0.511541,-0.314015,0.002932
0.340000,-0.295485,0.275391,0.736153,0.022666,0.004788,0.958515,0.284100,-0.405604,0.051376,0.251625,-0.115002,-0.463541,-0.067961,-0.439705,0.154774,-0.525814,0.299425,-0.008314,0.186554,0.340017,0.307958,1.269705,-0.672619,0.559220,0.138478,0.273750,-1.311234,0.497115,-0.295545,0.018437
0.360000,-0.311873,0.293054,0.729821,0.022093,0.005606,0.959827,0.279664,-0.443318,0.039768,0.237291,-0.111190,-0.461566,-0.081042,-0.461389,0.147192,-0.517150,0.231624,-0.071966,0.214743,0.353674,0.356951,1.260158,-0.674815,0.562141,0.117034,0.276421,-1.311123,0.492737,-0.277058,0.068044
0.380000,-0.330286,0.309770,0.724192,0.024364,0.013141,0.963814,0.265135,-0.473171,0.031831,0.199337,-0.121743,-0.454069,-0.097045,-0.475353,0.177088,-0.507649,0.220779,-0.048978,0.210124,0.388538,0.380994,1.255590,-0.668157,0.599105,0.121183,0.251074,-1.308800,0.478106,-0.232084,0.067026
0.400000,-0.348130,0.329945,0.719485,0.023531,0.011901,0.963299,0.267134,-0.504466,0.013956,0.189220,-0.139015,-0.441617,-0.106783,-0.501821,0.180637,-0.557770,0.291129,-0.070466,0.241073,0.390639,0.398027,1.245875,-0.652731,0.601575,0.123815,0.238345,-1.305407,0.426319,-0.191614,0.046562
0.420000,-0.366109,0.352233,0.716014,0.021105,0.007303,0.962156,0.271583,-0.528159,-0.012835,0.184150,-0.170631,-0.413428,-0.114520,-0.511030,0.169152,-0.564878,0.370222,-0.044271,0.208603,0.380868,0.416740,1.236563,-0.641322,0.582778,0.135040,0.279731,-1.307732,0.425270,-0.220884,0.079899
0.440000,-0.385712,0.374467,0.713739,0.018004,0.003828,0.961274,0.274980,-0.539412,-0.038734,0.180627,-0.221772,-0.365046,-0.125048,-0.527587,0.158046,-0.551847,0.478698,0.087060,0.150266,0.381536,0.406803,1.228535,-0.607800,0.588849,0.133212,0.281030,-1.311605,0.396904,-0.197642,0.029262
0.460000,-0.404653,0.398209,0.713863,0.013287,-0.001923,0.958154,0.285937,-0.530035,-0.063808,0.184766,-0.303129,-0.296266,-0.127574,-0.535654,0.137825,-0.554712,0.575943,0.197457,0.070388,0.359957,0.393294,1.220832,-0.587682,0.590492,0.134835,0.291155,-1.314863,0.405160,-0.206515,0.030435
0.480000,-0.424213,0.420920,0.715435,0.005887,-0.008824,0.956442,0.291729,-0.478803,-0.103080,0.200549,-0.445091,-0.224374,-0.095800,-0.544188,0.113285,-0.528558,0.653091,0.276179,0.013652,0.344704,0.390071,1.212699,-0.563120,0.561864,0.145502,0.293412,-1.318322,0.404192,-0.221141,0.002571
0.500000,-0.444223,0.442818,0.717650,0.004003,-0.013737,0.953766,0.300208,-0.422614,-0.137320,0.228309,-0.603167,-0.131058,-0.062906,-0.528312,0.090711,-0.508378,0.702528,0.340315,-0.022880,0.320955,0.361037,1.207274,-0.549635,0.555098,0.161844,0.293415,-1.319485,0.446669,-0.240481,0.055448
0.520000,-0.463933,0.464480,0.721107,0.008418,-0.015222,0.950899,0.309013,-0.369633,-0.168288,0.264287,-0.753437,-0.047790,-0.013142,-0.476929,0.068996,-0.494473,0.711174,0.395624,-0.061912,0.306758,0.304941,1.206001,-0.522976,0.554492,0.176386,0.263450,-1.320925,0.432121,-0.212240,-0.026436
